,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,433137.06954000005,363928.97489,325385.74468,235226.61904,161213.47021,162979.46611,21674.82133,136235.73028999998,95661.04798,38848.44496,105239.52905,11596.3506,62684.43569
2020-02,470762.48029,364755.06072,316170.5436600001,225076.86286999998,160236.24222999997,180365.71532,21565.58726,178087.14675,103509.41610999999,44849.80184000001,106671.17869000002,11295.28591,82935.73354999999
2020-03,492164.42392999993,358619.5503899999,415869.64215999993,264882.21956,169224.92039000004,183840.53480000002,24353.45579,167836.05478,116963.15516,91805.97440999998,101386.92543999999,12178.17754,93180.26667000001
2020-04,534027.08076,340626.3627800001,327694.3457999998,223195.77029999997,168175.69670999993,186477.60043,24804.772670000006,160218.6720800001,115066.49002999999,53096.44644,94923.09422999999,11216.73588,93152.98202
2020-05,417132.98273000005,361441.5192500001,309407.0128100002,226238.41174999997,154532.31828,186489.22606000002,23342.110090000002,154834.01332999987,121452.54613000003,46416.34189000001,96520.01079000003,11037.530050000001,96635.81852999999
2020-06,447587.43757000007,357319.09037999995,334447.40562999994,250401.39954999997,163857.8965700001,163749.99395000003,24078.485429999986,160646.48160000006,112465.12297000003,62578.70121999999,108239.63718000008,11769.867029999987,101691.44017000002
2020-07,510012.8738500001,361597.22624999983,303927.92439000006,267522.22539000027,159449.83649000002,170852.7805799998,26538.155100000004,205895.91879000003,117745.52865,49298.449910000025,94630.07609999995,12068.667060000022,92594.71288
2020-08,445329.41712999996,354389.0878600003,297239.73539000005,154791.81074999995,155686.51320999977,174035.50115000014,24591.47834999999,173381.76052,117373.93656000006,54487.522070000006,103239.17136000004,11744.582009999984,96809.09161999996
2020-09,494302.75320999976,381400.3125099996,316070.79624000005,256176.64006999996,174638.90993000008,178089.45671000006,26204.970980000013,205221.90853999974,118581.80996999994,61799.18189000001,113417.04568999994,13279.670750000005,120711.40234000003
2020-10,491204.3515400002,440658.15550999995,303578.5814100001,280562.8155,169577.35128000006,181713.20142000006,24369.481079999998,179047.60861,122106.05787999986,54395.99816999998,108026.44657000003,14050.853960000008,102252.69139000005
2020-11,524225.04085999914,468885.1885500001,345382.5196799999,282748.6517400001,159038.54128,190004.2189499999,25731.622139999992,178939.3768300002,129140.58264000015,15988.044339999906,118646.31520999991,13938.482149999982,104117.68228999991
2020-12,560058.6857100008,604486.6951100002,446625.7697399999,364355.63055999996,190805.40295000002,240069.88142000022,31777.186549999984,211000.78839000012,148865.88384999987,56039.60358000011,164107.22774,22784.332870000013,130707.55848000012
2021-01,447083.97508,404481.22922,316845.32684,260976.29892,167665.63273,187255.73326,26636.8937,163805.64683,107266.78563,49496.1978,102237.04802,13499.39462,80312.00262
2021-02,503946.88758,402085.17506000004,306889.16512,297552.23198000004,166457.15048,193960.96495,25112.09128,154330.38664,113642.01294000002,52588.53648999999,113582.58424000001,14441.13088,206165.78255
2021-03,535151.5931,428634.6421200001,439243.9117999999,332034.90090999997,166774.3123,202201.87348,27579.826699999998,157934.66936,130433.10578000001,58027.97972,122852.54341000001,15784.87946,128012.34354000003
2021-04,527486.05259,462229.1422799998,320115.85036000004,395864.72051000013,168979.77252999996,203069.77051000006,31728.462589999996,151694.08651,124078.06895999995,55652.69331,132741.19357,14560.17312,133176.60038999998
2021-05,515148.7316699999,448806.14632000006,307385.55544,405840.6994299998,166520.48974,190733.77432999993,25547.12956,188220.17609999992,123089.21663999994,53498.107350000006,119622.88269,15421.78027000001,138361.95702999993
2021-06,464826.0235600001,459417.14787,449421.32661999995,416649.3094100002,177596.02125,193963.49097000016,30046.762290000013,143059.30826000008,164481.55245000008,83129.68503,156095.76139,18210.866209999993,121503.07725000009
2021-07,562581.80534,462420.13532000035,332746.9721599999,401780.25239000004,167141.7604400001,204221.05939999968,24223.26363,138134.34541000007,125949.51876999997,56671.12206999998,135223.07890999992,15116.092269999994,123619.16458999994
2021-08,573620.5706799999,447742.6301699998,327242.1484300005,453990.9535099999,171013.4250700001,200765.06887000008,25961.410239999997,170085.4493699998,124171.94263000006,59915.46678000002,156076.90843000007,229314.19285000002,115520.8957900001
2021-09,569702.31005,477805.2266599997,349817.6924599996,518995.3196799997,192390.06599999988,231077.41329000005,26090.621939999983,157927.3134900001,134298.12339000008,62461.116039999935,157799.16055000003,-198015.06100000002,-4100.195940000005
2021-10,568785.3584000003,543595.1984800007,315048.4245100003,496427.9477400002,177414.7352,220591.48946000007,29819.793600000034,155086.94772000005,136885.12773000007,62300.55822000012,152227.49222999997,296475.25256000005,133390.86612999998
2021-11,612513.5081599997,505434.59198999964,331606.3636099999,532399.1057199999,192079.45594,237736.53543999977,33171.48669999995,217387.26114999992,137515.58037999994,71341.03524999996,201530.91185999988,44527.41848999995,128828.9524999999
2021-12,747163.8410299998,813820.0438499991,658897.0379499998,758036.0077400003,226465.59401000012,188013.8610500004,43740.81459000002,219706.89946,170311.58389999974,98214.74920999992,203052.96487000003,42731.075249999994,189725.26799000008
2022-01,581406.47755,500427.97909,350130.60249,532919.14585,174161.37625,188874.64941,30985.14127,175821.7012,123001.20331,57183.49703,158248.05846,32169.9312,122067.1995
2022-02,594953.45915,518109.86246000003,332657.6356199999,579516.4061199999,179215.53195,187493.68357,78948.68376000001,252953.38328,122575.10455,77616.16454000003,170800.31061000002,30019.112010000004,150737.39003
2022-03,883357.1854600005,598955.48367,644418.41733,509075.91316,189775.72515,266372.27667,44105.62375999999,94519.95632,121957.54433,61239.121659999975,78829.55627,22435.26044,155071.50993
