,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,947827.43144,804478.72322,551035.09562,329981.48788,308449.7164,435411.16685,277796.69097,154466.88567000002,191405.37525,129244.12095,148212.1866,15391.87913,196588.96612
2020-02,893376.18004,744291.09188,469630.47766,337807.06656999997,284499.86405000003,442776.33072,192817.72576,179877.75807999997,174322.14647999997,133700.87296,160999.98995,16208.35392,210268.41090000002
2020-03,920408.5200100001,808506.9588900001,690402.66785,455636.3752300001,354421.31061000004,539656.0279099998,95192.87877000001,307440.2882700001,205992.87422000006,153076.29717000003,172558.56923000008,26984.032450000002,114305.24257999996
2020-04,949370.4613799998,720585.5991400001,548430.21954,273273.8047499999,313990.38097000006,417705.53089000005,269962.87708,158324.74787999992,175474.99225999997,126642.61126999994,126502.1255899999,14765.36452000001,154715.7435300001
2020-05,1007327.6308900006,678625.2972999997,449634.05365000013,309108.1084100001,272949.8069999998,383936.4167500003,251895.08669000003,185924.26902999997,186559.7661,115561.69013,135447.47693999996,16800.602389999985,179554.0242199999
2020-06,933575.8587499997,671801.4329499993,419710.92123,407451.7450000001,262396.2362899999,382923.77052999986,-10855.282960000215,236103.54602,185069.49029999983,129497.60622000007,152131.45957000006,16633.811620000008,172878.35369999998
2020-07,991826.7060099998,749025.4683800004,492353.06623,397295.26423999993,297118.21120000025,469366.7933100001,170788.36424000026,270430.42549000005,215464.89288000017,130866.28565999994,177091.57753000013,17952.25271,198730.46863000013
2020-08,950213.5467400001,805967.7039099997,450244.7716799998,273444.4186,284063.8329700001,409247.83146,148770.29989999975,326866.4131799999,207741.60762999998,133745.03446999996,166388.27058,16049.138580000013,196588.12003999995
2020-09,959917.6551299989,816271.6808400005,460158.21982000023,406222.0233100001,297011.23292999994,438687.0700899996,167675.84099000017,273842.41030000057,219012.01175000006,133490.06649999996,182222.91677999985,18408.387809999986,200056.21203000005
2020-10,956187.7304300014,818708.5746900002,545976.0402600002,414176.44493999984,302933.7812000001,436294.4438500004,143397.12383000017,222752.98077999963,220169.8401899999,136024.89752000012,184338.24312,18910.89811000001,213521.21435999987
2020-11,876378.62892,861927.4995800005,439549.22482999973,481419.6331699998,300183.3672500001,460532.33829999994,139520.9198899998,296603.2182799997,223970.52789000003,110923.32560999994,175250.83175999997,21545.96187,211180.93883999996
2020-12,1012749.8667200003,598275.8726699986,569344.25043,585823.7257299996,342918.5137699996,541991.7269599997,172359.31958000013,133539.95348000014,236291.60702,140424.24329999997,222181.17864000006,25593.53686999998,237404.56753000012
2021-01,916141.78082,883030.33546,435704.83537,446447.47565,302957.89813,471076.20152,174319.87293,242058.26455,215295.12145,117638.79667,167855.46766,69362.68491,239751.29545
2021-02,897903.03993,867918.98688,452396.33447,650697.05211,291965.42437,436706.7082,146330.07953,228065.74649999998,204951.54971000002,122289.20152000002,195308.71896,22833.98341,233427.85159
2021-03,1010817.7354299999,884234.20364,621273.7534599999,883286.7106000001,336873.71678,538541.1052400001,188443.61131,310198.16357999993,226846.94149999996,131894.24595999997,235020.78028999997,27933.898849999998,185207.13076000003
2021-04,1045470.6224100003,919303.8848299999,484158.07162000006,701612.7797299998,352987.89848999993,540145.9802599999,159175.56470999995,341027.3484600001,220775.63850999996,138996.5734,199296.57822000002,26532.848560000013,254340.83577999996
2021-05,972203.94655,938327.5881400001,492382.01609000005,734985.4219400003,324552.26997,522664.99217,174014.73679,247363.25373,218955.96776000003,130506.19234000013,203927.99647,26949.58572999999,233707.56704
2021-06,1036027.11369,920565.7590000005,590106.9363300004,777748.8222000003,336176.04835000006,537475.8300100002,185738.60675000004,226534.04251000006,268045.63210000005,141311.53658999992,204170.31431000016,27549.088900000002,247279.12188
2021-07,1095022.65092,968964.6843400002,554266.1976599996,907671.3048700001,372974.37988000014,564710.9160500001,192431.43433999992,284439.71511999983,230536.8877999999,147285.73624999996,204992.0659099999,45053.92769000001,250256.01616999996
2021-08,1116972.9113600003,1005805.4852599995,563478.3226700001,784413.7338199997,373224.49389999965,552225.9748600004,218713.46716,288437.00144,231263.71509000007,151733.81525999994,210108.41247999994,113015.68796000001,294048.85138999997
2021-09,1069133.1252199998,1071407.7247099997,585631.4124699999,796994.1365499999,363562.96987000015,577274.9650599994,233495.4768300003,262190.9242199999,225933.38587000011,156818.95038000005,229166.55771000008,-54372.00304000004,281229.5722400001
2021-10,1119430.6798800007,1161585.5345300008,586788.3657399993,902271.4309099996,397567.83039000025,599401.1582700005,237166.08487999975,280154.3744399999,232285.06344999978,145040.51753000007,222053.57618999993,141612.01914,282155.88809
2021-11,1082716.76915,1165975.15477,714538.205430001,915365.7633800013,387586.3232499999,667781.74957,244965.9505400001,308218.18729000026,237111.0639200001,157510.6977899999,233055.2650100002,49036.38812000002,300207.51751000015
2021-12,1310792.1844599992,1130608.476879999,673240.4278999995,918207.5482699983,427362.5145100006,603745.8040299993,269341.4693100001,353568.8759600003,269112.87030000007,174731.2012100001,307735.68565999996,40297.018160000094,327440.54388999986
2022-01,1221747.27067,1280100.7070000002,676280.6814,1085955.42292,411108.83295,644077.71896,263960.51624,331276.28637,250772.55003,148875.66996,258660.17788,41130.09467,306457.33092
