,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,3775761.18411,603306.49222,-156330.37076,134190.71026,203897.60683,-2745.44269
2020-02,6383041.53243,482108.61214,516620.11577000003,160068.07151,97693.37879000005,7431.694259999999
2020-03,270625.3378299996,1543014.05139,-2434462.56135,44812.840410000004,-6587.363250000053,2652.834169999999
2020-04,6855974.336470002,665127.1431200001,415380.30302,41562.17612999998,24928.163880000007,-1074.1007899999986
2020-05,2331791.2118299976,270204.75303999986,81029.89526999998,22911.84116000007,50442.09506000002,5709.72935
2020-06,-5579770.950289998,29351.107369999867,-339533.27748000016,33636.53986999992,91860.09191999998,-1566.6770099999994
2020-07,2164412.5108499993,723297.2038600002,-326388.4380099999,116814.36712000001,124412.76515999995,8056.900109999999
2020-08,2189297.3867299985,119491.11121999938,361203.94794999994,126156.61456000002,186441.85485000012,-1487.4541500000014
2020-09,2888259.0493800007,300662.30186000094,-363766.9035700001,5034.991640000022,37355.0080899999,-3449.138079999997
2020-10,1573599.2689500004,61951.251299999654,-926795.9717299999,40233.43532000005,44457.05513999995,-3727.01353
2020-11,2179144.9405900016,47741.39236999955,-592593.5795,40020.36418999999,94688.17403000011,7227.469949999999
2020-12,-729910.3605500013,-2069932.3257699995,-1838362.3605499999,-354402.61055000004,205196.98228,-6076.666039999998
2021-01,1535233.31738,138580.20538,102409.47651,80614.94202999999,185981.2198,-3726.74929
2021-02,-225633.1898299998,63605.44214,99470.41709000002,97636.14640000001,240960.1437,-209.5715799999998
2021-03,1075221.2219399998,50170.12273,123023.77221000002,65806.44141,550967.33606,5597.1412199999995
2021-04,3661229.65508,136858.30164000002,255414.85329999996,69518.52993999995,138259.02171000012,79.51004000000012
2021-05,2644852.114880001,74107.33536999999,314554.61817000003,120722.96505000006,159839.71907999995,-5551.37277
2021-06,2920597.362279998,49312.79550999997,228072.43593999988,292129.92451000004,184332.70693999995,8744.0142
2021-07,4787417.73938,93624.41594999994,246053.50160999992,408494.50249999994,406435.8609200001,-3659.99928
2021-08,2103359.2784100007,143201.08626,278833.8641600001,245476.91700999998,461251.6592600001,-276.93891999999994
2021-09,2709354.5884100012,99893.46341000008,102106.22221000004,367386.42556999996,130060.71066999994,13444.60478
2021-10,2589167.2515899986,-71784.39083000005,302192.92082999996,993704.0084900002,285357.3932699999,37345.16566
2021-11,2533590.0924500003,596439.2127900001,202569.16040000017,735865.6902399999,335740.2625199999,56.01742999999988
2021-12,8716021.306440003,-318630.4748600002,473715.93956999993,293650.10117000015,239934.91604000004,-12273.367770000004
2022-01,1690912.1119199998,1126397.89296,130065.34934000002,115748.56967,641228.73744,2645.20905
2022-02,2436624.6558,-683364.7933500002,117588.96505999999,3.7710800000058953,57787.45968999993,346.66150000000016
2022-03,-412560.3547199997,-199470.90957999998,-2266943.47469,-1524636.4610899999,21656.558059999952,-6224.879440000001
2022-04,-2856257.00639,-2525164.03002,-6672.672779999906,-920766.4364499999,-307436.1044099999,3085.2960000000003
2022-05,4796074.22663,-1300930.08476,-70020.02301000012,429836.3074699999,-383180.72212000005,-12474.0008
2022-06,629208.2520699995,-460381.25583000015,-440535.4972600003,-1299032.80639,-2378556.7253300003,-20169.518610000003
2022-07,4650430.904059999,3539425.36904,-766783.1045599994,-341705.04819,-1170878.2012200002,-12572.61537
2022-08,3211155.074670002,2844795.2216000003,-1102619.2410900006,143036.08472999977,-1356979.69479,-15483.514470000002
2022-09,-317370.6967799999,371361.5814899998,-3500205.68853,38519.123070000205,558233.3595000003,-24478.924609999995
2022-10,3934306.74663,-1622880.11334,-472249.0586399995,-293879.09816000005,96229.32260000054,-8647.742490000004
2022-11,5111533.521159999,492672.45680000004,690643.5232199999,-101437.27723000012,-851590.7453200007,-9335.721739999994
2022-12,7323911.006170001,-942658.35259,-30573.1393799996,-107199.3823599997,-2036676.6764899995,-60641.54024000002
2023-01,6315581.07757,2242222.58754,623024.2302499999,234318.28936,680469.24688,-6198.15882
2023-02,2412824.385760001,-396532.32212000014,-204801.9463699999,254505.98648999998,124423.60245,50220.95892999999
2023-03,7314222.853529999,695996.7615899998,563420.31598,944734.37385,389373.5255900001,-11416.131949999995
2023-04,4839578.687080001,-471328.01689999993,262094.38497,375198.21877000015,131923.00852999976,-10382.73788
