date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,200980.97807711439,73504.2099726368,6248.220378524046,18810.364145936983,37782.63467661691,600.153092039801
2020-02,305476.81910934957,41144.469596747986,25297.88229756097,16784.438967479673,36571.98622276423,518.0946560975609
2020-03,80463.72299129126,103493.03278568725,-74369.37726694434,20552.951156380164,44573.86435630443,427.2281003407799
2020-04,316920.2990271859,55359.82355584129,32775.81211204996,4662.41961498897,22495.216494856722,407.17003710506975
2020-05,139945.54976538598,37199.963620290924,27104.070469973893,18118.8192387169,30192.61928086537,499.884236478926
2020-06,142275.79546274804,33467.917831898194,12479.483247472854,14006.450417072267,35396.109739797816,529.9286769000373
2020-07,131685.54953277187,77571.07494544124,-4441.496519589894,15717.311278286335,32932.58370743316,533.4011420725011
2020-08,134202.15513372095,40465.50131540693,18830.555268168606,21439.944844840124,33124.79183866279,508.21094803779044
2020-09,154025.636555754,47232.784399928576,-453.264543602569,15393.964307004997,34555.49139528235,483.84238062902057
2020-10,125903.65711370073,49932.87780120052,1750.7064240819207,15347.865300847445,28895.23937641245,483.75254661017004
2020-11,129646.58198339812,44628.268068880294,27998.924626280466,16414.6187379018,32651.861848816647,478.7337315436231
2020-12,140640.53900070992,34936.847710685084,7144.595319133827,19355.471024494174,36109.04634682283,531.7758864039769
2021-01,100697.8806970234,34857.83746243799,11912.074373139618,19763.839702338766,32000.079732813607,453.7768529411765
2021-02,41539.27420767574,20062.93932998565,7702.013798780488,20504.357648852227,30776.427221305592,560.8966965566714
2021-03,83834.98620215828,42158.96606510792,18393.434415107913,22638.726012230214,46843.143971582744,592.7571881294965
2021-04,192774.77348227715,51425.92890225564,69378.7867773004,22050.06037056929,33264.9714407447,547.7412087361259
2021-05,156145.4189061594,41778.04260869564,14119.914766666667,22868.910309420273,32298.602802173933,555.425702173913
2021-06,166223.4540605727,45650.26464610865,15646.213794419975,23791.314013215862,34917.714185022,549.2837716593245
2021-07,238138.54447151782,60121.46060896732,20912.067540242526,25250.23475192942,38913.240002205086,586.1013597941933
2021-08,133804.7512778193,48046.45284279316,23497.621249439908,25019.82206011951,40004.59391784912,549.1486448842421
2021-09,150357.60534044149,33991.5055600449,17287.50107444818,23552.691790497567,38223.80109502436,505.0081227085664
2021-10,165218.57310845645,32189.94452066742,12940.13038756164,26536.215350777406,38057.9266746302,442.1454793325755
2021-11,163320.80370359193,75322.44928809069,19172.746367485797,30962.111282797712,48637.779065028386,491.1387198487722
2021-12,280287.82178206515,86260.56770562293,24668.955416391058,27572.50634215362,51110.808555310534,438.88656119073806
2022-01,123499.8079417441,81868.4893452466,6608.774616511793,23757.222975339526,51969.317017512505,549.1622823445317
2022-02,182742.9232249208,42284.148100316794,21760.509057374165,24733.360291094687,47174.81521365716,393.32624040830694
2022-03,81525.39505264953,75911.93156581197,1921.3110126495744,19826.667082051285,38160.61928068377,258.1668694017095
2022-04,31167.664692649603,25299.55052410257,9082.519163418803,18737.50108547008,31463.29448683762,263.8836789743589
2022-05,240712.67756273507,37055.76311726489,27842.48958529914,26124.334277264967,41938.090642393145,272.6446464957264
2022-06,223118.64778871782,38448.421677264974,77441.44366461539,21031.724036581192,37769.3629217094,-89.97988752136753
2022-07,276256.86577268457,237881.66715321824,28215.38429795921,19866.419099843028,54195.17598869705,6.1872354788069535
2022-08,367789.6418072189,123297.87915805301,2722.5821126606147,14356.923976483444,22084.39274104452,4.735665846322238
2022-09,52153.94496171729,72860.69308176101,5244.908787530768,15528.74976182662,22914.34584276729,2.8200139458571396
2022-10,208717.14306125243,10801.381431501242,2719.8680782061865,18021.140418922627,46817.14140552368,-18.680173092698833
2022-11,222395.0596152583,50027.23741946951,24037.443151216856,16704.98289554279,25044.080315012303,-23.4213852884879
2022-12,213311.20637708515,50332.2768386656,13203.559626196326,17726.622578616352,20539.733711512145,-20.341688542521222
2023-01,265810.3156776046,82620.80385726005,16193.227936013127,17233.00590429314,32853.20094968553,-37.51335657642877
2023-02,125723.09365682253,10843.53720782063,272.43928794093245,15319.36211320754,21806.76621821165,-25.52499671862181
2023-03,309544.1541241455,54087.73270905113,22228.439329231616,17342.698800382834,23414.037744325946,-27.45571096527208
2023-04,209958.00822641508,17753.523127973745,8821.857707136998,18295.283623188403,21181.33583511074,-37.07926606508068
2023-05,225172.98857834295,30828.67037599126,11358.496626469783,19877.619468143293,17319.11284823628,-43.096522012578596
2023-06,192907.74564260332,147266.8909412086,15298.968733661462,20559.570687175274,13614.973669674575,-41.67511512168445
2023-07,202331.58412605934,78803.7724016954,10062.077071643424,21855.51900601587,101837.3011093793,38.43187694831832
2023-08,213022.85824446284,76341.65611594207,27043.979146841673,23857.375916051387,21127.740968826885,83.1962310637134
