date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,11218133.370606408,7965039.619860468,7007130.039464102,2638694.217344243,5106333.537281064,6306846.181037115,3916952.694774009,3452198.6667930316,2398891.9828662323,3020743.369635169,2404483.4322611103,357605.3121646186,1055214.7877646114
2020-06-30,11163616.793036906,7579044.211455073,7015534.171987213,2757832.8403488277,4937783.875909203,5863241.381598273,2924910.5398339797,3158432.0341199944,2319374.268758136,2875036.032700247,2323991.135585551,371696.51536361437,970783.0105051564
2020-09-30,11541274.512642667,8327819.172031857,7435585.177076593,3048883.4463927005,5228148.951759051,6407020.158139627,3367845.197225233,3468105.1551256636,2514450.5519375154,2957763.180428627,2439824.4428424123,375181.5205345618,1041378.5648936289
2020-12-31,11582658.076849129,8658433.16197731,7726309.937026865,3552889.2912817313,5510704.426969342,6481095.600401929,3080243.112147878,3548867.941597676,2669458.599967731,2907889.363382761,2612895.988663476,367999.77373132046,1124018.403816357
2021-03-31,12498705.477049075,9343811.487125602,7575723.023469245,4309159.9242723705,5632156.167092346,6906180.193740115,3013675.2976281284,3814576.1175390957,2867866.1007251763,2944486.4762414563,2721081.0955642564,389878.5869487197,1222515.1020076838
2021-06-30,13061889.284096338,10332273.169668883,7797228.712911044,4727937.361757854,5596025.515152357,7033776.488194238,2944570.696768211,4022466.926337854,2988668.3852648055,3065062.096993737,2782833.5951720434,445211.93861553795,1305256.3830133572
2021-09-30,13912787.744827425,11927816.218435973,8284317.341087434,5484625.556618116,6118504.311636198,7377580.702778019,3651759.545211177,4335363.33127388,3301967.2649795036,3301535.9476716565,2872595.4363445765,455191.05037461844,1552898.0337207294
2021-12-31,14810941.288755387,12382539.678960301,8675114.86367148,6256728.376177664,6605774.348376632,7972490.071223132,4117731.327378626,4929577.75900293,3600450.6777758086,3514412.5447093854,3264188.964010245,471714.5101318669,1753353.7554141588
2022-03-31,14397981.989351988,11736535.344127215,8693284.19351342,6563585.110087058,6711705.714231035,7985925.900810115,3779048.322415733,4657321.027784615,3403230.8907944104,3416428.911787792,3220775.7795140315,416869.1897392022,1695495.2130258265
2022-06-30,14970684.575899828,11026854.35228137,9196632.172783589,6716555.890611624,6782845.968112821,8246449.030108718,3995609.029001709,3902704.420197265,3436166.0010030763,3437139.3604700854,3138403.6588078635,379937.5258676923,1718697.5099866665
2022-09-30,13886262.984991992,10052595.343137978,8697376.55204225,6337261.431821743,6128581.52657869,7480687.546193424,3979945.968234687,3442943.9701497927,3196443.951486245,3094982.685461051,2642310.3473769682,303636.48130179243,1639389.172198385
2022-12-31,14563690.915925076,10308342.659231884,8916417.700541701,7151799.32392535,6228133.178167897,7952165.882108286,4319076.3783606775,3791721.8716379544,3290206.1268731197,2984417.558551272,2558750.648925896,299946.15484550176,1743819.1581949685
2023-03-31,15400310.25175827,10395055.75509188,9586646.569395406,7842020.298095707,7109106.954572873,8291227.418912223,4761719.768438884,4054263.3275881875,3517317.3334703306,3053166.392063987,2664869.003697293,354824.9243497402,1947456.4070902378
2023-06-30,15397393.245980311,10888454.372143013,10941226.505666394,8284715.260481816,7958783.9578873385,8594147.022959257,4925732.277371615,4560593.979988242,3850244.353709598,3189105.7237394033,2924911.760316106,343386.3030970741,2028674.0900221493
2023-09-30,16005275.02475882,11881258.403357944,11495274.585895268,8607944.009550998,8284185.885107191,8459378.033264698,5385447.959590648,4643015.544530762,4202251.884478262,3279396.6173527483,3058599.606652994,346220.18121930544,2113007.1691985233
2023-12-31,16283346.377371231,12648358.985549876,11492956.104755528,9545380.896708576,8737538.463267595,8907639.169006726,5680345.774643405,4573267.866434187,4473523.314598456,3283059.886384842,2917576.1535824705,350031.416296306,2254943.693862687
2024-03-31,16512924.498683091,12774705.064690985,11896369.308123156,9597403.487820683,9183678.660356293,8780670.78979287,5568404.845116502,4510766.347357408,4457931.064617998,3275692.8750902875,2923149.776822323,320878.8758452883,2185685.1598969293
2024-06-30,10855073.233097732,8593237.020546416,8364903.820070259,6473322.489826452,5975163.915524889,5694579.547128948,3829396.602058683,2973360.1526955497,2927195.6408001054,2148611.3624981735,1836913.0853416142,197981.74317202927,1442255.7976414317
