date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,586921.5201777553,218141.71235507203,-42823.27459085933,56147.75426979682,118928.48525568558,1545.4758484781419
2020-06-30,599141.6442553198,126027.70500803042,72359.3658294967,36787.68927077814,88083.94551551991,1436.9829504840332
2020-09-30,419913.3412222468,165269.36066077676,13935.794204976146,52551.220430131456,100612.8669413783,1525.454470739312
2020-12-31,396190.77809780877,129497.99358076589,36894.22636949621,51117.95506324341,97656.14757205194,1494.2621645577701
2021-03-31,226072.14110685742,97079.74285753156,38007.52258702803,62906.92336342121,109619.65092570194,1607.4307376273443
2021-06-30,515143.6464490093,138854.23615705993,99144.91533838704,68710.28469320542,100481.28842794063,1652.4506825693634
2021-09-30,522300.90108977864,142159.41901180538,61697.18986413062,73822.74860254649,117141.63501507856,1640.2581273870019
2021-12-31,608827.1985941136,193772.96151438105,56781.832171438495,85070.83297572874,137806.51429496912,1372.1707603720859
2022-03-31,387768.12621931446,200064.56901137537,30290.594686535533,68317.2503484855,137304.75151185342,1200.655392154548
2022-06-30,494998.99004410254,100803.73531863243,114366.45241333333,65893.55939931623,111170.74805094016,446.5484379487178
2022-09-30,696200.4525416207,434040.2393930323,36182.87519815059,49752.09283815309,99193.91457250886,13.742915270986332
2022-12-31,644423.4090535959,111160.89568963635,39960.87085561937,52452.74589308177,92400.95543204813,-62.44324692370796
2023-03-31,701077.5634585726,147552.0737741318,38694.10655318567,49895.06681788351,78074.00491222313,-90.49406426032266
2023-06-30,628038.7424473614,195849.08444517362,35479.32306726824,58732.473778506974,52115.4223530216,-121.85090319934373
2023-09-30,584808.124702762,308910.2010205087,57658.77488843315,69819.93295706861,144537.1585419743,210.2984358764014
2023-12-31,864081.8915068695,-11828.380075770554,85261.02624432166,73460.68592226722,76723.48893618362,546.7731404064152
2024-03-31,665162.1814112839,223141.61206673636,60770.830290699356,72714.90168421375,70754.60194406295,343.80133801371676
2024-06-30,441556.08219296543,158722.65272347967,42622.42449025761,50981.63305765766,44826.649018734766,197.74915792154448
