Date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування інших корисних копалин та розроблення кар'єрів,Виробництво харчових продуктів,Виробництво напоїв,Текстильне виробництво,Виробництво одягу,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",Виробництво паперу та паперових виробів,"Поліграфічна діяльність, тиражування записаної інформації",Виробництво хімічних речовин і хімічної продукції,Виробництво гумових і пластмасових виробів,Виробництво іншої неметалевої мінеральної продукції,"Виробництво готових металевих виробів, крім машин і устатковання","Виробництво комп'ютерів, електронної та оптичної продукції",Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Виробництво меблів,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,Авіаційний транспорт,Діяльність із забезпечення стравами та напоями,"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Діяльність головних управлінь (хед-офісів); консультування з питань керування,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,"Оренда, прокат і лізинг","Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність",Охорона здоров'я,Водний транспорт,"Каналізація, відведення й очищення стічних вод","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Складське господарство та допоміжна діяльність у сфері транспорту,Діяльність у сферах права та бухгалтерського обліку,"Діяльність у сфері спорту, організування відпочинку та розваг","Збирання, оброблення й видалення відходів; відновлення матеріалів",Видавнича діяльність,Рекламна діяльність і дослідження кон'юнктури ринку,Допоміжна діяльність у сферах фінансових послуг і страхування,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність",Діяльність охоронних служб та проведення розслідувань,"Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Виробництво інших транспортних засобів,Лісове господарство та лісозаготівлі,Ремонт і монтаж машин і устатковання,Обслуговування будинків і територій,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",Тимчасове розміщування,Надання інформаційних послуг,Виробництво іншої продукції,"Виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів",Металургійне виробництво,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,Надання послуг догляду із забезпеченням проживання,Ветеринарна діяльність,"Виробництво автотранспортних засобів, причепів і напівпричепів",Освіта,Надання інших індивідуальних послуг,"Інша професійна, наукова та технічна діяльність"
2020-02-01,19935.68,386887.06871,,,4088.96998,,,,,,,7127.78246,1013.46415,42361.05972,21.99479,,2761.06896,,256860.45598,333606.45028,,1618.95824,42911.2677,887667.06567,40139.83447,,100036.79892,,158314.74311,40595.50555,,1755.73824,,19195.73701,,45499.53165,,,,3933.12734,,23522.1752,32.51648,1088.41675,,,,,,,,,,,,,,54138.6,,,,,,,
2020-03-01,19648.8,433817.06962,,1.32397,1008.29324,,,,,,,12186.74026,1012.48819,41645.3499,1.07381,11914.66047,4065.83079,,302820.1426,336160.83634,,1521.32796,42533.58274,880001.58177,22637.28035,,98587.95322,,154354.73022,38503.33953,,883.34542,,15399.27304,,44081.50365,,,,4959.55142,,23498.21913,16.04111,1270.10746,,,,,,,,,,,,,,,,,,,,,
2020-04-01,22449.2,474656.00565,,5084.79725,6139.02648,,,,,,,12224.22002,1013.87567,42330.28173,,13642.36481,4124.54398,,283410.4347,152857.66239,,2293.83866,51117.21141,1082861.92857,16309.26486,,112741.84362,,156825.22604,121675.93719,,1015.37698,,19965.24584,11825.91178,49548.52476,,3042.10768,,,,23522.33958,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,21577.12,511055.02927,,53.7031,15242.20977,,,,,,,12217.41832,1013.494,40750.56855,1082.49633,13230.67678,4106.47075,,281294.50625,96509.75356,,2197.08823,49838.4386,1046476.4368,17628.42271,,108379.98873,,93623.26292,120676.19019,,3651.77384,,19057.17831,11871.02487,45705.45151,,,,,,23510.40382,,,2422.48438,,,,,,,,,,,,,,,,,,,,
2020-06-01,21524.72,550244.28557,,3654.18614,11411.94179,,,,2000.38193,,,12216.20956,1014.29405,45306.6968,2299.64216,13082.7076,2997.21592,977.26512,396961.61687,98816.40597,,2102.51848,50046.38186,1127586.2458,17620.33965,,108188.95646,,90978.92758,120798.03001,,3722.98462,,19187.72385,11825.8546,43707.94684,,,,,,23522.50691,,,2444.41014,,,,,,,,,,,,,,,,,,,,
2020-07-01,21397.78558,571020.74711,,5107.83607,8060.1789,1385.79516,,,1980.90532,,493.05927,12198.91604,1013.91238,45010.66783,4028.07906,12975.98008,3319.51483,987.8121,369621.67943,98968.90859,,1809.83691,50623.75406,1328662.99142,17601.72441,,107347.28884,,88225.44096,113808.51053,1296.80264,6413.62084,4387.80519,19192.48146,11769.44005,41462.27682,,,,,,,,,2311.92945,,,,,,,,,,,,,,,,,,,,
2020-08-01,30509.10494,543505.90853,39954.92367,7103.98907,3958.9987,1362.27169,25152.10433,,1948.75836,2520.10225,1520.59478,12176.88761,1014.71243,41836.06446,3418.46496,13466.81197,1527.15308,971.80535,374009.53947,110360.45645,,1542.13846,52321.63082,1352755.43145,17592.26018,,111439.61691,,91739.2422,119233.50934,3000.97487,18775.8711,108.9403,17208.51379,14257.14186,41069.59147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,30958.68381,503161.67214,44780.75676,7130.43716,1017.04657,2826.04407,25145.63836,,2909.42664,2493.15019,1523.34499,12191.33459,1014.92505,41522.84507,5534.99175,13363.17378,1978.53436,953.61642,405283.6009,204245.1231,,40086.55484,52369.93208,1236930.31455,17571.19175,,110619.44199,,92085.9973,117145.84301,2997.04183,24111.75241,9067.79054,17255.85628,18008.60959,38809.53181,1165.63146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,46035.45546,468321.17822,46173.91469,7126.22951,2065.72599,2811.51364,25143.99628,768.3749,2885.00344,2450.1409,1327.64138,22217.44001,1014.54338,42772.44711,5134.86257,13760.46039,995.74688,936.93589,494163.57595,123435.94027,2.82309,1093.43031,52901.49713,1278816.6328,17544.01589,1881.69028,113951.56804,,95229.14378,115788.82931,2945.9144,26462.16262,24008.47146,17639.91509,19295.17282,,,25856.46757,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,46262.22549,469033.89506,36535.36804,7118.96175,1019.28791,2721.12738,30172.01406,910.41712,2811.34631,2408.97737,1327.64138,20340.12052,1015.34343,43012.91368,5163.6502,13833.51784,1006.60585,920.85523,695600.39634,123756.62677,307.19301,896.59265,49990.50945,1209419.24252,17532.89355,1876.49225,114589.17,752.61337,112685.93414,113970.4005,2896.81325,32453.96243,22487.3538,17766.9639,19170.29613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
