Date,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Добування інших корисних копалин та розроблення кар'єрів,Виробництво харчових продуктів,Виробництво напоїв,Текстильне виробництво,Виробництво паперу та паперових виробів,Виробництво коксу та продуктів нафтоперероблення,Виробництво хімічних речовин і хімічної продукції,Виробництво гумових і пластмасових виробів,Виробництво іншої неметалевої мінеральної продукції,Металургійне виробництво,Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Виробництво інших транспортних засобів,Виробництво меблів,"Постачання електроенергії, газу, пари та кондиційованого повітря","Збирання, оброблення й видалення відходів; відновлення матеріалів",Будівництво будівель,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,Складське господарство та допоміжна діяльність у сфері транспорту,"Виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів",Телекомунікації (електрозв'язок),"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Діяльність у сферах права та бухгалтерського обліку,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Діяльність із працевлаштування,Обслуговування будинків і територій,"Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги","Діяльність у сфері творчості, мистецтва та розваг",Діяльність із забезпечення стравами та напоями,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння","Виробництво готових металевих виробів, крім машин і устатковання",Ремонт і монтаж машин і устатковання,Авіаційний транспорт,"Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність",Діяльність охоронних служб та проведення розслідувань,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),Будівництво споруд,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Оренда, прокат і лізинг",Діяльність громадських організацій,Діяльність головних управлінь (хед-офісів); консультування з питань керування,Тимчасове розміщування,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів,Організування азартних ігор,Водний транспорт,"Забір, очищення та постачання води",Охорона здоров'я,"Поліграфічна діяльність, тиражування записаної інформації",Надання інформаційних послуг
2020-02-01,770854.27846,,165122.4565,486661.40562,10023.5061,,336.10098,12329.3322,1205.75539,632627.23538,720.87254,32908.75124,1506.50656,661813.39246,3.4851,1655.4555,,885.61693,2050.02129,90.15111,167709.46656,1305463.14803,34982.54018,716.21663,43741.53306,58219.4848,150.0,7773.0876,186040.05175,0.00679,,3384.22058,170.64759,63.52428,0.00469,,147.78507,3.32068,20893.61518,55.15006,132.4768,1015.57802,,,,,,,,,,,,,,
2020-03-01,715863.71642,,162817.61415,478307.92011,9892.88674,,0.14596,12415.3797,995.82165,623758.66846,718.22002,32209.43662,14.57268,658606.12293,4.79563,1748.59529,,943.85091,1247.06506,0.73958,153394.57253,1301225.11484,9368.39549,509.93387,41277.91262,57862.37447,150.0,7758.0876,183739.05968,0.00706,,6232.30034,110.53697,62.7689,0.00488,,145.47473,17.75081,18029.15871,111.73241,7.22821,1002.85795,,,,,,,,,,,,,,
2020-04-01,780515.43186,,185317.74055,543370.05673,11457.91458,,,12507.36151,1010.16069,628784.53979,871.01293,34802.8581,1.64208,759941.20612,391.25849,2024.79108,,1016.67779,665.52884,25.0727,48416.70229,1403006.42705,9224.04343,7346.72455,42801.33586,66696.14443,150.0,7758.0876,206354.52929,0.00735,,4.39834,,1371.55615,0.00508,,68.11861,99.81658,,22534.53474,557.8207,85.25617,,,,,,,,,,,,,,
2020-05-01,783166.9273,,178311.07957,524570.01702,10898.35912,6981.91029,344.49477,12596.37617,922.48266,604262.79988,795.84825,33478.80802,9.34645,734309.52721,,830.33338,,302.48594,413.25518,0.77228,46962.83223,1424653.72146,37773.59049,7020.38873,38573.31973,64651.27167,300.0,7773.0876,199157.46583,0.00763,,2166.85544,32527.28203,68.63898,0.00528,,0.76997,0.05698,,21705.04993,1.427,0.37592,,,,,,,,,,,,,,
2020-06-01,804327.20301,,177890.1978,523485.47319,11120.6448,6981.91029,297.13751,11339.62798,513.29812,602680.79646,724.1037,32685.69656,1.4306,740444.06024,,1495.22098,,304.25976,380.10822,0.42766,46610.79239,1397863.85952,40587.08287,6970.22811,36220.5105,65057.15831,150.0,7758.0876,198476.30394,0.00792,,1292.54937,2663.06339,61.54767,0.00548,,,,,21688.80185,,,,,,,,,,,,,,,,
2020-07-01,813474.292,,176516.73071,519836.35505,11321.80802,5981.88844,300.29787,11428.64264,43.26893,598134.03641,829.85446,31651.64546,82.2377,741776.93684,732.34505,1761.45809,,397.14757,384.28177,62.60547,46463.12098,1313451.93378,11052.64445,6775.68993,51632.31025,65080.84971,150.0,7773.0876,197092.07255,0.0082,,5798.63004,49221.54172,62.02459,0.00568,2833.12426,,,,28.00492,,,,,,,,,,,,,,,,
2020-08-01,809328.00385,,182938.74853,539209.34596,12391.75015,,489.43332,11520.62445,173.41418,620617.93942,763.96622,32033.14852,1140.75684,776312.23129,243.56526,1567.44772,,392.9654,651.95692,0.7235,46948.96042,1412577.13051,16781.76755,6748.63458,50018.613,68096.17594,150.0,7758.0876,203546.54192,0.00849,,9.63622,7892.53087,60.85239,0.00588,4.45996,,,,,,,,,,,,,,,,,,,,
2020-09-01,764708.00119,,181554.3602,535233.15529,12551.43892,,164.40808,11612.60626,355.30471,616938.75454,718.53889,31811.56558,2533.9235,777169.8713,5.79245,2009.58117,,391.31725,251.40327,69.63537,46571.91647,1481656.44051,5671.56158,6497.04695,47343.50509,68141.29888,150.0,7758.0876,200704.28831,0.00878,,186.24418,7703.47864,62.19434,0.00608,,,,,,,,,,,,,,,,,,,,,
2020-10-01,783087.44743,182605.96428,186844.47171,551799.19735,12790.75876,,,11701.62092,4.6072,634855.5702,718.2966,32789.17759,2620.38257,806385.94508,2.0095,1827.79767,42.28045,392.69826,185.0429,114.47972,49195.46108,1529442.03064,17268.57635,6520.15988,45872.5212,70755.30754,150.0,7758.0876,205977.67183,0.00906,172.93883,55.87022,5781.77451,61.16904,0.00628,,,,,,,,,,,,,,,,,,,,,
2020-11-01,830913.44076,182796.27888,192304.53519,553388.21117,92993.56371,608.37516,517.54604,11793.60273,2135.04224,637767.63528,718.24042,32123.63977,1119.84693,818085.85,1.43027,1879.94765,26.79298,403.43768,417.30583,0.18633,48829.49149,1597572.95146,10014.81536,6045.93849,43800.12507,71698.79837,150.0,7758.0876,206870.98906,0.00935,315.21214,20.63279,241.84542,58.14965,0.00648,,,,,,,,,,,,,,,,,,,,,
