    ,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/01/01,1201335.02483,34626.65962,47742.8483,82913.56388,100683.63126,77382.0092,,75934.30848,79799.99489,129240.53982,123103.04351,196842.23521,24681.04598,133463.71228,141898.34882,50436.84582,,,571973.71694,35035.31541,71176.04514,99748.34814,16767464.776,1494403.75885,104527.61107,53882.68434,2329614.88125,74581.2908,109495.00818,117733.02871,136401.59306,,95042.44256,4123490.04156,50524.54398,1264667.30693,151953.79011,1015822.08739,1304456.7894,51408.19934,77309.03081,257806.31987,23610.53914,5450245.34011,2907027.97698,220560.68734,1143889.82582,38102.95694,139558.42804,,1049921.10342,132804.15179,7050561.18823,16729.78958,139370.45487,3778100.21447,5099.65205,1101142.15028,22471.79258,,2245582.22237,3210922.49345,3881001.63165,88826.91597,462450.14647
2019/02/01,83247.9453,3302.09094,5313.65493,8271.01622,7463.31699,7667.34852,,9093.06595,8612.53328,12189.30483,6877.5591,23622.75515,2723.50122,10325.87285,11794.71544,4203.05644,,,53567.14051,2476.45121,10943.51903,10654.49921,1709657.74538,176668.7128,7684.79198,4086.45935,209025.80414,6038.32298,9486.87976,10875.73217,15393.32504,,10511.66897,370678.52798,6179.52575,120132.56303,14750.42607,101609.79222,123087.00712,5191.82554,7139.3725,24382.72646,1837.02987,751118.00078,320930.14176,19854.75012,124181.54616,3286.39456,11408.63642,,101862.97571,12051.52723,602828.20422,1566.71105,13447.03956,372842.67123,199.24469,103218.8926,2063.18786,,121314.93322,300529.6638,396291.1033,10099.23152,62079.63729
2019/03/01,154432.44038,6161.33648,9064.23137,15757.14805,14140.91074,14916.70903,,16897.84223,15226.85903,22431.21638,12078.21814,38951.71592,4894.20204,21068.70414,21408.831,8218.88946,,,97667.117,4795.76291,20426.91733,19352.50865,3163425.54223,321954.50246,17468.90764,5600.38617,404519.85677,10899.30109,17624.40423,21132.45432,26396.2941,,19956.32201,789693.43906,11071.45719,232709.14883,23656.26175,190327.92744,232610.12058,9900.58434,13490.33469,47331.24409,3320.58533,2519362.82057,609656.78159,38243.73732,241579.93323,6261.95595,24880.44303,,188542.31441,22189.59433,1148931.91825,2919.40463,25287.94305,699562.07217,56.2125399999995,199939.06049,4028.32602,,244260.92899,502500.17538,737316.04622,19489.94852,122448.64988
2019/04/01,281103.76595,9318.90737,13033.98783,25168.06863,21445.65005,21802.48024,,24937.12164,22932.48818,36030.89506,19707.52348,46210.44667,7456.75939,32754.04581,32402.3637,12723.9578,,,147430.49191,7236.97886,31051.74985,29029.15264,4897292.67787,477285.91553,27761.91751,8485.82924,607413.69927,17152.61532,26605.49964,32543.98065,37756.5978,,29947.03152,1205935.289,16051.26042,360290.76288,32354.83512,278843.92019,351980.52399,14224.04996,20014.31876,67082.31459,5309.65723,1598882.07833,903921.15568,55195.20215,342212.95884,9558.30111,37202.44833,,284534.82521,33159.53786,1740504.38071,4702.17901,37008.5941,1019275.74499,319.68557,303254.35479,6161.80014,,355428.05568,723633.95005,1101609.06421,29713.43703,190895.32872
2019/05/01,383918.82569,12342.38332,17124.3007,33898.18815,28857.90324,28501.33699,,33842.92686,30545.40573,48189.42067,28059.19441,54471.66419,9891.60286,44404.57607,43510.10245,16925.30971,,,205765.47869,9633.70068,42164.46694,38956.0245,6497732.4106,635966.18592,40164.34309,12547.7988,810451.33873,23380.38279,35728.42573,42948.49335,51996.45076,,38985.83081,1618668.95057,21226.2769,487608.05046,44761.7036,366093.10348,467943.28453,18392.36266,26404.81523,89647.60403,6776.22113,2098837.452,1191276.06446,72869.30406,429996.67244,12729.74858,51042.79927,,388593.50313,44790.54443,2334768.0544,6289.33135,47636.03218,1333664.57462,1051.76576,408790.30097,8188.41752,,474086.85951,1001932.88273,1465393.5454,40136.86873,269677.43457
2019/06/01,486192.82626,15334.8057,21409.69486,42452.91953,36911.54613,34104.51419,,43377.68747,38688.61297,61184.88764,36361.23055,67692.03594,12519.97352,56543.24881,55125.28481,21407.21018,,,257664.94592,12153.45567,53228.0983,49545.72256,8209241.13312,805669.79597,51474.55965,13632.77055,1011571.67167,29944.24458,45172.19722,54973.34675,62387.39291,,48606.98851,2031541.75084,26807.2203,623611.96263,61631.16138,450518.80735,581848.8268,23677.45563,34709.28429,110933.72168,8481.39159,2533986.02987,1500230.71045,91860.24213,533670.70202,15869.45732,63688.78965,,496948.6423,56700.83372,2950551.17512,7590.57604,59016.51821,1669718.19356,994.55509,535552.97019,10218.82271,,646950.4989,1278781.35673,1847499.16519,48953.17611,357937.80436
2019/07/01,589738.64752,18288.68619,25234.31551,49718.2174,44446.84547,39806.6556,,52742.28772,45507.181,75509.50306,44512.79916,80383.58302,14928.1862,68194.43025,65656.28405,25615.66297,,,310520.63296,14614.29051,61016.59144,60597.663,9825782.57434,968717.6551,62427.53074,16320.37109,1198207.94816,35983.97049,54797.23852,67475.9701,72800.17978,,57075.94466,2453725.67165,31871.9462,756918.53223,74532.62267,526102.10299,707179.26951,27961.19834,41158.29484,133218.00425,10171.65244,2942765.73528,1786229.34586,110683.41464,618902.104,19080.49611,77700.65719,,598912.82827,68536.71578,3532389.43716,9481.41391,70796.68531,2006728.1371,3895.7435,651698.81887,12271.30368,,1003258.08307,1530684.5136,2196428.85757,57811.87984,452966.68654
2019/08/01,706894.02009,21291.08825,29116.47076,57992.35744,52080.28005,45503.71676,195834.47053,63255.12357,52959.19724,89858.60679,51662.53073,101340.03053,17471.50595,79882.99369,76825.01126,30295.88509,10764.43981,19681.92682,370486.35944,17240.95964,72778.45992,75554.63372,11462001.5404,1132721.26571,70531.76723,18993.65243,1394550.14251,41950.5018,64246.40002,77420.30366,84741.16725,37901.01186,65577.87612,2951150.52904,36998.57112,901014.65544,84763.11726,615441.30378,835968.65393,33997.37242,49073.37065,155060.78412,11678.00259,3395772.03686,2089266.2538,130320.4743,720403.12415,22769.12083,91599.40837,233894.30501,721969.59165,81416.97903,4134605.45309,10732.86786,82339.69398,2325485.23147,4928.52397,767901.35444,14356.61383,32197.53458,1319092.43325,1775439.52615,2547537.11167,65178.16869,559726.318
2019/09/01,862590.26692,24412.86953,33269.335230000004,66717.49979,59884.29903,53005.17949,220762.49514,74406.75944000001,60095.99959,103332.45921,58373.93641,122317.01833,19917.97234,92360.38234,88227.19490999999,34996.740119999995,12214.2956,23434.798000000003,425022.53152,20060.26212,85458.30001,90055.59466,13097892.02112,1281779.20242,79333.03072,25989.31598,1585898.22571,48302.676490000005,73676.79902,87573.6921,95212.76953,43617.67299,73988.48843,3426528.76364,41641.25347,1033908.06472,100045.98224,685532.2731400001,967542.04584,39402.5551,55727.11123,177677.41372,13108.75263,3730328.46449,2379967.92311,149194.61643,814150.7719,26144.53545,105336.01599,267133.17633000005,840723.49251,94066.80481,4738678.86515,12026.26538,93287.27214,2646800.75718,5351.333280000001,885010.61583,16356.82517,35675.57547,1534262.69953,2026823.05907,2889990.6908,72390.94804,678035.62599
2019/10/01,984994.9215,27138.61106,37121.49211,75507.04495,67435.79522,58982.381680000006,245794.35332,86603.38455,66976.90157,115164.59852,63926.734260000005,143898.50096,22330.16683,105326.13376,99456.35613,39458.11555,13524.09458,25991.05439,477380.67754,22828.80752,98755.26038,105055.95596,14681270.89343,1436253.41377,87570.00370999999,28247.23158,1787490.11,54734.40579,82884.02648999999,98428.44129,105229.35785,49010.55939,81528.96861000001,3882568.28854,45464.9057,1175402.84815,111623.83405,756339.61852,1092827.29843,45325.20464,62887.40865,209499.43376,14647.8239,4185238.3559,2672214.5226100003,167280.99177999998,906628.28696,29394.07231,118761.31522,299122.94937,952414.18683,105973.13702,5314578.81412,13507.67422,103289.85459,2998231.74963,8118.19015,993741.63622,18168.50271,40201.75111,1730092.05366,2314325.53415,3246510.33957,79926.19994,802489.80753
2019/11/01,1144548.68941,30123.87879,40910.95298,84663.14308,75024.42375,65316.48752,272808.30605,99933.72327,74425.70984,126038.07641,70339.51049,169909.20869,24556.59318,118867.00802,111140.76032,43880.335,14919.50081,27919.64392,530406.12601,25677.8849,113851.38499,118498.74997,16311268.74394,1603729.94969,95611.14729,30983.76652,1999951.04509,61735.92413,92844.68424,108286.46039,116308.66153,54545.42301,88987.59848,4391782.8276700005,49143.60926,1323385.66226,123258.6967,833032.3870400001,1223532.33511,50745.319,69979.61054,239980.42484,15903.48139,4634683.25003,2999212.13254,185813.96021,996357.25239,32967.66928,132468.041,331813.75976,1071175.0370699998,118459.06094,5931546.278879999,15516.64761,113303.58862,3362758.23699,8454.577000000001,1112939.19382,20035.93433,45092.569930000005,1992708.02087,2590229.88285,3577291.10248,88334.12577,937439.73554
2019/12/01,1306887.88428,32901.73767,44646.82375,92454.78616,82111.22454,71205.43075,298544.83958,112908.66692,81889.1579,135817.3604,75588.82010000001,195424.40431,26807.02799,132645.31069,122418.11434,48129.66799,16359.486919999998,30237.58182,581574.6749999999,28245.44855,126643.40835,132338.65326,17976361.49386,1755095.23682,105411.32987,33022.42227,2209143.91236,69600.42094000001,102644.5341,116333.93336,126254.1615,59776.65478,96270.25734,4899445.40333,52274.87505,1463130.2123200002,136697.10467,912828.06287,1354516.26587,56092.05428,76212.41433,264064.86347,17104.62654,5063294.241339999,3312289.36348,203563.54582,1087892.94877,36829.25857,146743.51246,363105.7836,1188867.0388,130648.90195,6532498.06403,18360.28938,122534.57728,3738210.33315,8199.16755,1219274.62616,21783.60407,49528.45898,2187156.91326,2902196.61704,3901660.2866,96541.65148,1076942.62181
