date,usd
2020-01,24.12
2020-02,24.6
2020-03,26.41
2020-04,27.22
2020-05,26.81
2020-06,26.71
2020-07,27.31
2020-08,27.52
2020-09,27.98
2020-10,28.32
2020-11,28.31
2020-12,28.17
2021-01,28.22
2021-02,27.88
2021-03,27.8
2021-04,27.93
2021-05,27.6
2021-06,27.24
2021-07,27.21
2021-08,26.78
2021-09,26.73
2021-10,26.37
2021-11,26.45
2021-12,27.21
2022-01,27.98
2022-02,28.41
2022-03,29.25
2022-04,29.25
2022-05,29.25
2022-06,29.25
2022-07,31.85
2022-08,36.57
2022-09,36.57
2022-10,36.57
2022-11,36.57
2022-12,36.57
2023-01,36.57
2023-02,36.57
2023-03,36.57
2023-04,36.57
2023-05,36.57
2023-06,36.57
2023-07,36.57
2023-08,36.57
2023-09,36.57
2023-10,36.52
2023-11,36.16
2023-12,37.09
2024-01,37.87
2024-02,37.97
2024-03,38.66
2024-04,39.36
2024-05,39.71
2024-06,40.48
