,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,17973242.21395,43190227.1407,25955188.97645,27104012.851080004,3398055.80035,72894.06439
2020-02,19218856.29067,42720520.67024,37058997.593320005,24799008.14242,5948026.48756,111539.17970000001
2020-03,16615473.514189998,25077784.84887,32660135.63537,33516983.0131,11236032.797239998,367541.55555
2020-04,14853454.325730002,25270992.6723,35337244.69391,25960920.85585,11938798.530599998,168003.69482
2020-05,14205021.904310001,28721289.42058,37333584.43488,27578931.427,11172305.908710001,296912.89994
2020-06,15896900.464080002,15981755.10778,35097151.02948,30248110.6254,10970851.25895,247056.70523
2020-07,20388676.39474,16072427.27076,36685622.89998,34461908.05318,11198312.40962,312765.19251
2020-08,22388438.74157,20008067.78196,29263606.29546,31550318.20068,12359697.075989999,273918.90488
2020-09,24964308.66998,22138661.038760003,25150325.22055,31847892.06089,14383553.30377,203115.46199999997
2020-10,27045366.50615,22666902.000880003,28733629.958860002,31040213.098640002,12527832.3411,155141.13926
2020-11,28618925.47121,19372922.27876,26773721.854519997,27269861.57124,14480446.597569998,188766.84182
2020-12,23653430.093810003,11260438.744110001,24843829.97458,34152088.73041999,13717383.593500001,127742.53037
2021-01,25775509.30323,14643426.83335,24699436.68703,28494835.78362,10642305.42044,280749.63689
2021-02,27133100.7736,19811592.76129,17212102.84384,26960134.551340003,14358069.709810002,326307.84842
2021-03,28204582.969949998,24450727.81606,15997739.913509998,29440035.21027,11369841.08566,415476.46291999996
2021-04,28201164.90256,21589690.65421,21756600.49466,33398908.301970005,8555771.09076,834563.85998
2021-05,28173553.28429,25033471.72794,22317001.66595,41878260.242369995,11065342.182780001,1028229.2739299999
2021-06,29838254.931939997,22471347.993130002,20790108.26266,48348948.72157001,10044388.97052,1249897.12019
2021-07,30809197.55514,21748149.843530003,24620243.68872,42347509.57569999,14882864.52388,1380440.31458
2021-08,31040324.26863,12796426.841139998,23031923.25189,40343509.632020004,17202832.112900004,1564862.89505
2021-09,29915414.62631,7318035.04129,21798384.79423,33945946.01051,13509011.936230002,1730341.57256
2021-10,29801831.14586,6065878.873520001,17954860.20047,30290193.26899,14677470.31496,1746241.6395
2021-11,29377971.19242,9137558.013650002,25023800.28404,31672971.34769,13573829.580360001,1456586.8798500001
2021-12,25839685.242119998,6138047.40097,26103264.50967,31314549.33945,16105978.05574,1549481.2463500001
2022-01,22729462.23467,3400560.2593599996,20799304.33252,27698065.694190003,13282708.15722,1527461.07333
2022-02,25922930.728380002,7559527.23533,14701765.820729999,31388088.78564,11368973.47514,1788109.26109
2022-03,30712039.2564,4256578.70031,7123426.73051,24724881.514280003,7263545.37053,1290919.61933
2022-04,32661209.25486,4825436.001360001,11712212.069740001,18586166.74704,8588351.98791,1013641.1681
2022-05,28294781.08308,5412872.4760300005,15461447.49873,17345929.41895,7578407.41661,136455.28423
2022-06,32968267.63522,6306714.1435899995,20210240.678129997,47823325.9676,7689137.8382,161854.51769999997
2022-07,42188121.188769996,12094010.9485,28529692.266949996,59232996.89423999,8996901.71668,59748.87804
2022-08,48550184.47619001,11500498.9595,31413654.83633,25192981.22638,9798586.084959999,102051.47545
2022-09,42192912.8061,7135019.730359999,32323729.82037,45892185.79734,9368679.8894,99981.68027
2022-10,49607876.78085,7068391.80102,29178879.44565,58624180.80420999,7798660.031490001,95860.27713999999
2022-11,56010690.92755,7267667.01857,29197394.35015,39827268.72224999,8197745.472279999,101808.52992
2022-12,60233746.45921,12381262.8273,22967048.24665,60623212.18888,9268775.59605,104593.53197
2023-01,66643538.32785001,13533309.02108,21654300.788519997,68689923.89606,8834906.68986,107624.02555
2023-02,68276931.32027,12565742.1813,19846103.748800002,65133067.99043,9697158.7499,102812.09083
2023-03,70845651.3803,13606098.25646,28885512.69039,57737902.919010006,9503672.24625,102545.42515
2023-04,68704663.6301,17245444.94128,19634590.361819997,58767978.17303,9838357.557950001,104997.13962
2023-05,61617307.92635,17633435.912699997,23784895.42385,57094997.923049994,9528859.415930001,17609.490139999998
2023-06,63617318.20714,22300699.004139997,23543097.35,61947095.583380006,10278157.903420001,19257.72324
2023-07,73053453.43453,23732997.071999997,24157944.08141,59003281.104380004,8938987.145499999,23706.68007
2023-08,82188042.19898999,25468366.37111,24251973.37932,61813661.01581,8182596.31535,24295.4903
2023-09,77178181.95539,25560474.66483,18027108.178310003,52797456.82133,10403809.484660001,20398.516489999998
2023-10,78601796.69951,29682660.29514,21548366.81092,53106915.917160004,11689572.87306,23932.36297
2023-11,77706915.71981,24196746.483740002,20875455.21551,53314594.541090004,11798092.34953,18678.40719
2023-12,75061457.75767,27234592.82076,22833791.53699,58027996.453430004,13495036.66809,21047.95596
2024-01,66701287.901740015,29892586.43698,24580091.17754,60238425.72128,13509633.29009,32190.35653
2024-02,63216410.81096999,26473218.21296,19809292.4241,57983178.54199,12385657.64779,24946.713119999997
2024-03,66317563.81347,30286654.439450003,19494387.17527,56568897.960329995,13568950.74274,28752.29435
2024-04,67504348.64316,32241839.92986,17108154.83844,59216121.93292,13288335.02748,42882.218349999996
2024-05,70948297.19728,38659882.19348,17341578.831800003,63992589.65336,14520859.78483,43381.77304
