,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,88320907.78885001,40532888.927,779.5149700000001,26655217.25116,856448.62038,178659.32783
2020-02,91991075.73445,40514837.09909999,8386.9931,26763464.49188,773331.93739,174030.40404
2020-03,95567577.66363999,44312412.0023,1274.64615,27958544.3212,650493.8854899999,196914.28026
2020-04,98911266.65956,44536238.3491,1010.3032700000001,27920791.61352,617865.5020999999,0
2020-05,99595576.65979,44650748.5946,813.35654,28524762.613700002,494811.70497,0
2020-06,99399548.62442,44489271.6631,185.11553,28500472.10436,578549.4625799999,0
2020-07,101396556.60486999,45782091.2238,4686.87526,28888557.25419,462199.87511,0
2020-08,101207816.90797,45669019.693399996,10446.985850000001,29129202.522719998,529487.6354,0
2020-09,102412469.48053,46652453.7465,188.75942,29526754.133589998,461932.8011,0
2020-10,102020383.46383001,46794111.473,2460.90891,29512190.31403,306015.19847999996,0
2020-11,101860730.01180999,46288180.3404,3007.08236,30089689.48031,309821.84534,0
2020-12,100749834.11030999,46152268.3311,4929.599020000001,29116752.03974,329057.98916,0
2021-01,99796006.13641,45871116.4908,3455.12962,29049278.92684,373596.96365000005,0
2021-02,96732463.67696,45024682.938099995,4721.77988,28750713.09505,397982.28046000004,0
2021-03,94190605.10502,44541018.1103,2637.34008,28694196.01762,538911.28361,644.9222500000001
2021-04,95071172.41724,44362599.1135,1837.28929,28815077.74182,597980.84246,0
2021-05,94706424.9385,43840421.794,18965.150390000003,28695833.11356,644863.08873,0
2021-06,93968002.71684,43318468.2889,12268.11563,28146238.62258,709987.84222,0
2021-07,95712665.70033,43257398.575899996,6188.029860000001,27962087.69624,544970.46343,0
2021-08,94344644.70444,43171249.0858,6076.16013,28002737.7762,571702.59413,0
2021-09,92442260.02255,42516981.8783,3202.71599,24054354.016230002,641393.4503799999,0
2021-10,91258894.26032999,41787238.4389,9038.442079999999,23699463.249190003,550225.16151,0
2021-11,91711287.7403,42650506.8274,8849.46362,24080441.673860002,483320.246,0
2021-12,93096371.72302,42786103.1302,0,23901854.821829997,838543.03109,0
2022-01,93091309.72487001,44185269.805099994,12524.179820000001,24461934.551170003,831499.0466300001,0
2022-02,94117716.70691,44530396.67126,0,24814431.828330003,904394.90443,0
2022-03,92530450.72106999,45847923.777219996,0,24185493.724349998,847831.19347,0
2022-04,89632487.79152,45316559.32585,0,23962733.52039,815518.1866,0
2022-05,90065048.78294,45198548.28162,0,24089013.91057,854703.72547,0
2022-06,89053802.7887,44588557.00073,1380.95957,25614214.09119,838813.04168,0
2022-07,96886309.68226,53009152.54413,457.2988,30562993.86681,573080.01111,2010.3156000000001
2022-08,104417584.08333,56153183.59993,539.95754,29936755.72185,453925.926,0
2022-09,98135734.56513,56585345.72116,5585.78028,29972951.237630002,27538.20416,0
2022-10,97290420.60533,55334929.61965,11598.82545,30093270.11677,24899.152990000002,0
2022-11,97631431.69852999,54933787.112749994,3722.87315,30491860.783010002,22060.15433,0
2022-12,95716215.7244,54578818.71664,14972.78073,30174994.20464,20342.700839999998,0
2023-01,97869126.69237,55277230.28995,17487.89003,30421797.80856,20874.6097,0
2023-02,95266202.72655,54052629.26162,24712.105480000002,30013742.3339,13827.053940000002,0
2023-03,98322413.67015,53716090.31615,27673.792989999998,31142247.751369998,13854.90918,0
2023-04,98847501.68913001,52370351.09125,16959.21068,30870213.48232,11656.17089,0
2023-05,98455047.68972,51632200.34135,12925.18158,30498209.30957,5354.658719999999,0
2023-06,97558899.69038,55538257.191750005,8449.20061,30293559.9394,5585.8494,0
2023-07,97519172.69401,52153387.8634,9630.53281,31738076.68459,5089.40449,0
2023-08,97438242.69364999,53076532.078099996,7586.20252,29465125.04338,0,0
2023-09,95017916.72429,56343834.39362001,7415.356400000001,22125045.35281,0,0
2023-10,93860092.76785,55978628.270909995,36416.34308,21987451.412189998,0,0
2023-11,96059785.72658,53173162.35893,7976.818569999999,22325802.25544,241609.33510999999,0
2023-12,100376469.65853,48969137.362280004,32.558080000000004,23602417.8417,692849.57215,0
2024-01,102201287.63401,48997701.58361,3989.58148,23311156.19936,514126.85338000004,0
2024-02,100918772.65190999,49350980.72172,1520.8507499999998,23455728.26243,610496.13116,0
2024-03,102748459.61721,50664273.37019,73.79723,23935803.52614,848532.15183,0
2024-04,101727045.89125,51009150.51945999,123.92035999999999,23742600.94835,1134793.4660600002,0
2024-05,104351818.61861001,52115866.39775,50.91147,23884297.29422,1180138.92119,0
