,приватбанк,ощадбанк,укргазбанк,укрексім,сенс,перший інвестиційний
2020-01,228008800.3044499,113115796.59655999,37581250.93378,109762072.59650002,25338466.13369,520951.59661999997
2020-02,227767125.24057996,112030925.11475,35910627.52451,108610965.3812,24539198.03134999,519621.67280999996
2020-03,234420833.83301002,124109022.76230001,38645495.655650005,117469134.38379997,27653786.96545999,470542.06379
2020-04,232363903.6121299,119732939.47127998,36718991.096029975,112720977.10389002,24190609.23681,550680.6055
2020-05,232414096.0843499,119170866.54485005,36618919.26304001,111356132.59433997,24232321.87200001,559876.18031
2020-06,232315250.33278003,93617852.69035996,37441055.02186,112603474.69496001,25904240.010309994,454217.3787
2020-07,233945590.68309003,90871313.12365997,38625123.28048,116796157.61607002,28241370.445960008,504420.69554
2020-08,234154157.75281003,91233674.34633997,38944404.18084002,112698299.07172002,27519113.95494999,638777.0987800001
2020-09,233361064.13213995,78835678.04984,41724965.25315001,94776361.44332002,28761439.528410014,522530.99608
2020-10,208195826.70517007,81979013.32801004,41491571.100420006,94726851.02875002,29411058.09544,644171.87955
2020-11,187651024.87317,79597524.60369004,42445383.30543,95771322.52773,28852511.890149992,618892.48037
2020-12,,,,,,
2021-01,181710870.95094,77370385.01410997,45039093.70406999,92957465.97156002,33181272.29385,576912.5300899999
2021-02,181785152.67527005,76957019.53527996,44488237.89749999,93104158.99251,29262097.770489994,676118.41109
2021-03,180950719.98331004,74781179.28308001,44105213.7025,93721703.64841,29395586.197990004,569969.8204699999
2021-04,182097676.61116004,73411187.52988002,44820372.13878999,95174869.33162,31616294.390729997,590877.0033
2021-05,182153737.41459003,74853386.91991,45652442.660420015,83994122.4532,32472074.393560007,591890.12344
2021-06,182561445.87516,73860760.78694996,44906988.504,83782217.27290003,31841251.965490002,488083.21651
2021-07,182072637.32169,73098525.15072995,43393646.61988,82138822.42307,32009297.170750003,603775.35228
2021-08,182616940.44171,71943770.41061997,44934362.928380005,88692621.06496,34479652.76200999,596450.29558
2021-09,181918875.57991004,61741198.48554002,46222259.909670025,88568283.45356,34736137.04990998,419480.38954000006
2021-10,181357934.58679,61339801.014839984,48745736.98760999,87778304.65245998,36104712.90311001,358930.44958
2021-11,182576164.55809,61353452.54319,48287404.24976999,77204342.37460001,38467641.95783999,357089.99579
2021-12,182733184.03065,59601217.46124,48778128.86405999,77918418.68768,37168629.72779,257138.66981999998
2022-01,184622740.88468993,59735807.912730016,50097423.284669995,80109987.51699,39243732.10889002,267623.85581
2022-02,185379358.41017005,62853350.71958001,51728784.48163,82297753.56291999,41197033.16471999,346895.00612
2022-03,,,,,,
2022-04,,,,,,
2022-05,193282381.62405008,67524560.86770001,59432284.469379984,94067862.75646,36624469.1051,349510.05606000003
2022-06,193494753.01069993,67496248.21660998,64078477.67564002,92304260.42869,35952051.788529985,346352.13319
2022-07,197259526.4877801,75938218.85488,72487273.78177004,105754277.96168998,41562047.4497,278984.97777
2022-08,197465858.32009006,76559164.66243002,71222075.59927,105609442.83649004,40437999.331409976,249546.74521
2022-09,197659306.2887,78767412.79255001,69746096.20932,102481365.88842002,39229926.95270001,237747.77728
2022-10,197348270.84275997,79037165.87404999,68263686.67754,101504204.32512996,38024840.45275998,214891.37081
2022-11,198021652.66048995,80270704.97961998,68230424.21334,101740426.26233003,37473360.283360004,199486.70553
2022-12,198715650.11867002,81693528.10261,66808148.61248,93956593.99384998,35429678.91428998,175103.10678
2023-01,199349039.70516,80848614.67182,65904106.18642998,94063779.50547001,35208453.52930999,165738.81329999998
2023-02,198666349.88124,80630300.19580998,64453331.55627,92749208.23694001,33612650.45055999,127440.99640999999
2023-03,196942528.31298006,80761119.20335999,64080812.84115999,89998113.34566,33295930.02179999,124462.80810000002
2023-04,197648965.45893997,80281288.44924,62562903.05792001,89584144.38330999,32919724.56981001,122536.69385000001
2023-05,198872224.04736,79820898.48791,61451377.930360004,86376199.32419,31584679.604560006,120514.07987999999
2023-06,201821079.01241997,80075810.10621999,62478610.71264998,84690785.43200998,31136463.852200005,117039.5729
2023-07,205178543.09560996,80308484.01853,63206079.81992,84390092.62705001,30760768.25316,115960.57063999999
2023-08,207414645.4363701,80768042.01845998,63637854.09554998,84183012.61591,30498383.513730004,116959.13154
2023-09,209387438.94257,81800961.74164997,62294528.51607999,84043247.07554,29753685.75678001,114944.63734999999
2023-10,209004820.11509994,81856765.95428005,63119950.63985998,83339880.88574001,29694900.49020001,110113.59596
2023-11,209275659.62878,83994755.47716,65325957.22865001,83714475.91498998,29664660.008960012,49183.28211
2023-12,207666673.64982998,87220018.59207001,65872878.58182998,86756268.37968999,31089002.091440007,25902.613100000002
2024-01,205757118.94175,85979416.01217997,65058900.04850001,86115905.88847,30991755.83842999,25460.931940000002
2024-02,204026309.71128994,86536969.3928,64791614.04215999,86473320.56253003,31667373.349609997,18079.06583
2024-03,204398700.51069,89843049.66642001,65900241.118530005,87275579.24296997,32437990.77348001,17946.89002
2024-04,206817781.52411005,90247220.63911998,66242313.862150006,87404144.78170003,32904689.287199996,12305.07043
2024-05,208476922.57144,90590483.02792998,66202552.10873999,89016699.71961002,35718160.469350025,12081.85922
