,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,433137.06954000005,363928.97489,325385.74468,235226.61904,161213.47021,162979.46611,21674.82133,136235.73028999998,95661.04798,38848.44496,105239.52905,11596.3506,62684.43569
2020-02,903899.5498299999,728684.03561,641556.2883400001,460303.48191000003,321449.71244,343345.18143,43240.40859,314322.87704,199170.46409,83698.24680000001,211910.70773999998,22891.63651,145620.16924
2020-03,1396063.97376,1087303.586,1057425.9305,725185.70147,490674.63283,527185.71623,67593.86438,482158.93182,316133.61925,175504.22121,313297.63318,35069.81405,238800.43591
2020-04,1930091.05452,1427929.94878,1385120.2762999998,948381.47177,658850.32954,713663.31666,92398.63705,642377.6039000001,431200.10928,228600.66765,408220.72741,46286.54993,331953.41793
2020-05,2347224.03725,1789371.4680299999,1694527.28911,1174619.88352,813382.64782,900152.54272,115740.74713999999,797211.61723,552652.65541,275017.00954,504740.7382,57324.07998,428589.23646
2020-06,2794811.47482,2146690.55841,2028974.69474,1425021.28307,977240.5443899999,1063902.53667,139819.23257,957858.09883,665117.77838,337595.71076,612980.3753800001,69093.94700999999,530280.67663
2020-07,3304824.3486699997,2508287.78466,2332902.61913,1692543.5084600002,1136690.38088,1234755.3172499998,166357.38767,1163754.01762,782863.30703,386894.16067,707610.45148,81162.61407000001,622875.38951
2020-08,3750153.7658,2862676.8725199997,2630142.35452,1847335.31921,1292376.8940899998,1408790.8184,190948.86602,1337135.77814,900237.2435900001,441381.68273999996,810849.6228400001,92907.19608000001,719684.48113
2020-09,4244456.51901,3244077.18503,2946213.15076,2103511.95928,1467015.80402,1586880.27511,217153.837,1542357.6866799998,1018819.05356,503180.86462999997,924266.6685299999,106186.86683,840395.88347
2020-10,4735660.87055,3684735.34054,3249791.73217,2384074.77478,1636593.1553,1768593.47653,241523.31808,1721405.2952899998,1140925.11144,557576.8628,1032293.1151,120237.72078999999,942648.57486
2020-11,5259885.911409999,4153620.52909,3595174.25185,2666823.4265199997,1795631.69658,1958597.69548,267254.94022,1900344.67212,1270065.69408,573564.9071399999,1150939.43031,134176.20294,1046766.25715
2020-12,5819944.59712,4758107.2242,4041800.02159,3031179.0570799997,1986437.09953,2198667.5768999998,299032.12677,2111345.46051,1418931.57793,629604.51072,1315046.65805,156960.53581,1177473.81563
