,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,427632.84538,330336.62837999995,189179.71463,18324.02321,185138.00332,196147.74902,199610.5446,8352.02411,68569.27752,64351.562009999994,14556.31461,-20879.95675,92038.93355
2020-02,798197.05922,599232.18663,324434.91265,85143.30934,278178.96833,363651.87902999995,355949.07432,17668.07076,99591.59304,138008.4616,49857.738240000006,-22305.716780000002,126359.42179
2020-03,1036739.8808400001,810892.28188,446268.60579,164653.39401,386029.68643999996,558706.40498,411589.84011,29997.93192,135286.09574000002,156633.82605,103067.76304,-1401.5329000000002,65220.128430000004
2020-04,1363594.52095,995931.67342,551762.84438,217430.05044,423226.5131,679891.92196,605204.68608,32738.77298,162207.43682,202999.71185000002,116858.05927,1441.13837,49833.92813
2020-05,1705121.18953,1126728.64191,593480.65906,225947.25055,519282.40744000004,728069.2758599999,759660.01525,57045.381839999995,189919.0517,240810.31331,122087.39808,6679.83666,57144.731909999995
2020-06,2067251.1192799998,1254424.32599,665112.09901,288614.11491,396478.58573,588963.53747,673185.7575899999,114298.2619,237767.29765,257508.88178999998,141694.63594,9654.57346,67508.50643
2020-07,2457661.13217,1501364.68668,784869.3796,309363.06431000005,494800.79621,908941.96193,827666.28101,163509.29166,292071.36272000003,297677.79666,159127.33821000002,8881.962449999999,94207.89790000001
2020-08,2696687.05094,1854760.3440800002,893011.1554,369110.21925,602666.88636,1131098.9888300002,923002.85482,207612.74141000002,346033.36931000004,351880.91284,199309.62155,10778.23377,133806.02028000003
2020-09,3121071.52427,2061516.98988,1005330.92053,409225.73964,680269.52203,1513304.97337,1033832.04998,257311.51393,392052.8128,412397.35448,224331.12476,18339.96653,154931.74057999998
2020-10,3415031.31068,2300495.4595999997,1175939.46257,447540.60306000005,817270.63632,1757564.55508,1072042.3087199999,287015.28285,445248.52464,469868.31278,264022.90975,24109.85324,212925.18886
2020-11,3741173.5797699997,2488651.9427500004,1243765.27855,579346.6198999999,895466.02909,1973563.42269,1218954.60992,305823.95011,498420.90732,435721.92366000003,317798.82248000003,45469.91211999999,269017.17353
2020-12,4074829.67662,2608093.1838,1312020.63555,685694.61071,927294.3516,1733722.29361,1328336.8244999999,274112.62262000004,531227.42336,542192.55785,381112.49941,40178.42698,299738.49042
2021-01,380358.46376,338065.18377,22023.621890000002,161565.1327,82968.96402999999,193189.65659,120003.01005,57929.99166,74966.49824,50420.29305,36593.73314,53629.54797,84579.21694
2021-02,758704.5692,676133.29532,155968.19242,472044.03594000003,184768.75329,377598.55893,258963.00638999997,110961.48001,149683.64105,110991.75590999999,78416.95258,47007.42791,22447.05317
2021-03,1087470.90396,1001285.57744,286422.48223,867385.9024199999,339630.90686,639278.04663,376839.33185,163986.27671,205131.60562,177969.48075,165957.17182000002,38916.822770000006,122965.03147
2021-04,1535362.6056000001,1323141.21711,409408.73069000005,1148315.81624,479819.67096,856806.35203,485967.6767,216126.18441000002,272356.49973,244583.60399,190746.53563,44318.37101,174214.37136
2021-05,1869989.20435,1652095.00856,456217.59942,1353944.54975,569024.28506,1066117.9699,598529.80654,266101.87541,342904.34511,317592.69479,235151.07476,53845.03978,176686.68329
2021-06,2333694.32224,1984694.48401,515738.23389999993,1649610.8479,693968.4348299999,1294940.173,768596.46235,317201.64526,423886.24465,357339.96885,268571.36465,34829.359840000005,200940.29689000003
