,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,14792437.7005,0,11288776.795959998,2056597.82825,7515368.85,8775792.145499999,13736909.83606,0,878242.87007,3610622.95082,2507377.0500000003,20004.918,531482.78688
2020-02,14505032.43213,0,12136799.4449,1754568.8228299997,8416303.28,11026193.668,11029754.09836,0,1066458.13439,3730062.2950799996,2506762.3,111054.5898,722163.93433
2020-03,10863454.32165,0,7563245.925290001,1958429.60592,3801978.1440000003,5706407.946,14511202.18579,0,419726.47368999996,2703688.52459,2001814.208,110024.0438,750909.83606
2020-04,13539758.072759999,0,10024633.60768,2755005.62851,5001010.925,5901168.711999999,9501912.56831,1000218.58,268433.61397,2570561.74863,2050434.429,77012.623,900775.9562799999
2020-05,16354027.721099999,0,13023465.4907,2956162.72505,7004180.33,5903588.992,9505737.704920001,0,269991.15491,2781822.9508200004,1800765.03,0,900565.57377
2020-06,18572597.625269998,0,13736505.23366,2855953.24802,6704330.587,6904562.297,8404904.37158,0,270005.7133,3122557.3770500002,1800920.767,100013.661,750614.7541
2020-07,15562265.24982,0,13816616.429609999,3156376.57574,4600724.026,7201136.176,8301297.81421,2900475.3970000003,282438.05319,3770618.03279,0,20002.73227,740349.72678
2020-08,14969996.41496,0,13957785.143110001,3057152.13421,4801590.1620000005,7004589.2700000005,9614427.595630001,2401573.776,272352.26282999996,3202098.36066,700344.26,150020.4915,680404.3716
2020-09,17740546.04394,0,14248386.94049,1355844.3689400002,4703352.466999999,6906447.849,8486240.43715,3351939.8935,482995.68073,2502459.01639,200163.934,0,680668.8524600001
2020-10,13713629.48897,0,13904009.449320002,855069.4942399999,6501967.205,5501737.201,4501366.12022,2750901.6425,286575.74195,1950639.34426,1000327.87,0,800389.34426
2020-11,12040399.2403,0,14355517.10972,254919.35243,6102390.711,4002259.14,6502185.79235,0,589430.23009,1601049.18033,1700855.1930000002,44006.01084,600393.44264
2020-12,19704224.199079998,0,18268898.26849,3454604.02723,4601106.556,5901417.566,7051823.770500001,7702161.205,1489991.51108,2030665.5737700001,2600701.363,0,585165.9836
2021-01,19782748.492670003,0,14802409.99059,2054664.93996,6302958.903,4202005.002,7253431.5068500005,0,291308.52607,2151057.3770500002,600295.89,234096.16464,350053.42466
2021-02,19762624.47473,0,13867036.441150002,1554131.79302,5602630.136,5702711.697,5502506.8493099995,5022475.613,0,1450715.06849,1000369.865,120049.3152,350049.31506999995
2021-03,18335083.90051,0,13748194.677620001,1901112.24,6604665.728,6405736.392,7004267.1232900005,0,0,1431527.94521,1401312.324,370055.7516,237083.4528
2021-04,18405468.06281,0,13555223.9717,2500458.7150000003,4200816.436,4600930.94,7251441.7808300005,5451119.866,0,570117.12329,500102.74,260046.30132,407036.24071000004
2021-05,17942215.29646,0,14748255.18829,300053.424,7404150.688,3802800.4850000003,5002821.9178,0,0,1351109.58904,400328.76800000004,360064.1088,507350.5508
2021-06,17160020.8823,0,16886243.8407,1900654.753,5204301.376,2252164.2040000004,3453778.7671299996,350062.328,0,480591.78082,300369.864,222039.53376000002,590174.93152
2021-07,17080242.84657,0,15891116.66186,2901648.294,5225112.93388,2552300.31084,6005616.43836,0,0,1271001.64383,700295.88986,0,800161.64383
2021-08,13265105.3903,0,14480169.64237,2602033.779,2100402.7380000004,2101106.78868,7009698.63014,0,0,100109.58904,0,0,841348.7671599999
2021-09,11429984.264999999,0,15442069.58802,2905969.636,2503465.7550000004,4355946.25676,6263195.20548,700143.836,0,1353667.80464,1201956.162,100020.54800000001,1002078.7670700001
2021-10,13523565.26289,0,15225054.040229999,3306141.228,4854825.348999999,3154135.44132,9111034.246580001,0,400931.50571,1182421.91781,1302000.003,210129.45239999998,1201091.77995
2021-11,7895977.85827,0,14059466.54286,2503102.09,4503408.217999999,5056359.31612,11516219.178089999,0,0,1081991.095,1602841.092,370153.6787,1753231.50614
2021-12,13474932.21573,0,16314468.601199998,7602430.336,4307952.82513,6956239.98816,10709578.082190001,5121122.2016,3601860.2727900003,2142499.17808,3401490.416,930256.3295999999,2321746.78528
2022-01,10582397.071519999,0,14801206.1697,5208509.596,5516193.90283,2554868.13356,11017287.67124,1940478.3652000001,1252177.4005,1954054.7954900002,3105063.0209999997,690170.1402,1813939.97615
2022-02,14660073.41225,0,10418589.812660001,1303916.1979999999,307464.59936999995,3531562.0300000003,4012054.79452,5901454.822,200602.74029000002,0,501506.835,730180.0034,1364552.47661
2022-03,17750700.44704,0,23089646.016400002,13603353.488,9101974.686220001,8833303.604,7601873.9726,5301306.874,1100135.619,1250308.225,2300567.134,110027.1238,2461832.8074000003
2022-04,20341695.353409998,0,25332053.26738,10407693.192,11106219.26632,9736343.467,7903895.89041,5202564.38,285632.56298,1180581.91781,3651800,480236.67840000003,1662208.21477
2022-05,23062407.05342,0,26226708.30966,9202268.536,13205110.08346,8532737.93,7701898.63014,3800937.0039999997,1575158.0839600002,700172.606,4401084.9520000005,560138.0848,2362926.37308
