,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,438194.58606,401629.17642000003,322404.75112000003,311657.46467,86630.38308,196292.71782999998,34206.77037,146114.86156000002,107851.09514,50379.19794,130746.26695,36271.83588,104569.55681
2020-02,886006.55226,817998.8558,630691.71149,582645.24511,263859.74879000004,432564.91854,42864.482410000004,316676.57299,244380.01449,93314.74531000001,249063.29118,53905.94983,278783.49064000003
2020-03,1502552.2092900001,1368383.74731,1147180.93555,958771.53567,488953.47559,731027.1995000001,63932.18939,605287.0001,406983.80704,221572.48502999998,353884.42897,60550.6124,455998.86503
2020-04,2071381.0635599997,1863030.51042,1567633.16848,1179268.68399,757474.7219700001,1001948.89441,98525.2275,760870.9069200001,549290.9867199999,291963.11962,465385.14522,72473.30565,626061.3353899999
2020-05,2653472.41098,2382428.35103,1970191.14611,1479859.5922899998,913283.19456,1323707.95726,157350.99802,917488.5670899999,702302.20836,361247.49229,594392.1953499999,84035.20975000001,787179.38095
2020-06,3127583.80493,2898503.33998,2303114.29056,1824644.47293,1325284.3972099999,1879837.46618,255789.94972,1081339.2330500002,829017.33678,466695.31903,722612.5582099999,95412.32057000001,946813.3894999999
2020-07,3660841.84379,3346382.02703,2650602.84917,2201190.78777,1502490.10693,1958281.83503,250289.46354000003,1287558.62878,978388.68887,548079.5378200001,878446.63752,114137.18428999999,1118450.11871
2020-08,4303180.29447,3721379.4170299997,2971227.4814799996,2414888.05143,1654989.81775,2097725.0795899997,276633.02263,1570321.5922100001,1120274.97533,614160.4131100001,993959.637,128290.05154999999,1275338.61394
2020-09,4744592.78424,4285508.8469,3293514.40872,2780994.55435,1857832.9771999998,2070006.1651400002,303232.67646,1779465.22999,1283208.6307100002,669574.1159699999,1146438.0301,136786.5156,1434735.24621
2020-10,5312801.956680001,4812780.26339,3634240.55894,3156856.13587,1993719.81411,2208934.9182800003,387926.77355,1952514.4418499998,1438524.7679700002,735491.16119,1282218.30232,149927.527,1589937.15142
2020-11,5816499.42379,5445248.63718,3999762.7308400003,3506469.7522,2198515.36159,2406118.38897,370925.17224,2220308.99287,1597596.28604,887223.41492,1391924.2930800002,150113.42998999998,1744715.00958
2020-12,6405430.57291,5913181.178619999,4493486.4920500005,3985945.48712,2502785.60448,3239179.92501,398688.79323999997,2402463.39189,1793911.97607,901440.39393,1541602.9167900002,176014.34025,1917733.2263
2021-01,459888.05516000005,470755.72833,409044.60874,284882.34295,201775.71910000002,231501.54493,30025.64688,184128.27289,123868.63099,56167.88043,125522.64929,15733.13694,155213.98793
2021-02,917828.94441,926452.43056,699325.88442,625100.49182,369594.01321,445039.35079,16307.84307,343565.23004,237648.42875,104667.42909,269569.32417000004,45189.24041,417244.63871
