,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-01,947827.4314400001,804478.72322,551035.09562,329981.48788,308449.7164,435411.16685,277796.69097,154466.88567000002,191405.37524999998,129244.12095,148212.1866,15391.87913,196588.96612
2020-02,1841203.61148,1548769.8151,1020665.57328,667788.5544499999,592949.58045,878187.49757,470614.41673,334344.64375,365727.52173,262944.99391,309212.17655,31600.23305,406857.37702
2020-03,2761612.13149,2357276.77399,1711068.24113,1123424.92968,947370.8910599999,1417843.5254799998,565807.2955,641784.9320200001,571720.39595,416021.29108000005,481770.74578000006,58584.2655,521162.6196
2020-04,3710982.5928700003,3077862.3731299997,2259498.46067,1396698.73443,1261361.27203,1835549.0563700001,835770.17258,800109.6799,747195.38821,542663.90235,608272.87137,73349.63002000001,675878.3631300001
2020-05,4718310.2237599995,3756487.67043,2709132.51432,1705806.84284,1534311.07903,2219485.4731199997,1087665.25927,986033.94893,933755.15431,658225.59248,743720.3483099999,90150.23241,855432.38735
2020-06,5651886.08251,4428289.103379999,3128843.43555,2113258.58784,1796707.3153199998,2602409.24365,1076809.9763099998,1222137.49495,1118824.6446099998,787723.1987000001,895851.80788,106784.04403,1028310.74105
2020-07,6643712.78852,5177314.57176,3621196.50178,2510553.85208,2093825.52652,3071776.03696,1247598.34055,1492567.92044,1334289.53749,918589.48436,1072943.38541,124736.29674,1227041.20968
2020-08,7593926.33526,5983282.275669999,4071441.27346,2783998.27068,2377889.35949,3481023.8684199997,1396368.6404499998,1819434.33362,1542031.14512,1052334.51883,1239331.6559899999,140785.43532000002,1423629.32972
2020-09,8553843.990389999,6799553.95651,4531599.49328,3190220.2939899997,2674900.59242,3919710.93851,1564044.48144,2093276.7439200003,1761043.15687,1185824.58533,1421554.57277,159193.82313,1623685.54175
2020-10,9510031.720819999,7618262.5312,5077575.53354,3604396.73893,2977834.3736199997,4356005.38236,1707441.6052700002,2316029.7246999997,1981212.99706,1321849.48285,1605892.81589,178104.72124,1837206.75611
2020-11,10386410.349739999,8480190.03078,5517124.75837,4085816.3721000003,3278017.7408700003,4816537.72066,1846962.52516,2612632.94298,2205183.52495,1432772.80846,1781143.64765,199650.68310999998,2048387.69495
2020-12,11399160.21646,9078465.90345,6086469.0088,4671640.097829999,3620936.25464,5358529.44762,2019321.8447399999,2746172.89646,2441475.13197,1573197.05176,2003324.82629,225244.21998,2285792.26248
2021-01,916141.78082,883030.33546,435704.83537,446447.47565,302957.89813,471076.20152,174319.87293,242058.26455,215295.12145,117638.79667000001,167855.46766,69362.68491,239751.29544999998
2021-02,1814044.8207500002,1750949.32234,888101.16984,1097144.52776,594923.3225,907782.90972,320649.95246,470124.01105,420246.67116,239927.99819,363164.18662,92196.66832,473179.14703999995
2021-03,2824862.55618,2635183.52598,1509374.9233000001,1980431.2383599998,931797.03928,1446324.01496,509093.56377,780322.1746299999,647093.61266,371822.24415000004,598184.96691,120130.56717000001,658386.2778
2021-04,3870333.17859,3554487.41081,1993532.99492,2682044.01809,1284784.93777,1986469.9952200002,668269.12848,1121349.52309,867869.25117,510818.81755,797481.54513,146663.41573,912727.11358
2021-05,4842537.12514,4492814.99895,2485915.01101,3417029.4400299997,1609337.20774,2509134.98739,842283.86527,1368712.77682,1086825.21893,641325.0098900001,1001409.5416,173613.00146,1146434.68062
2021-06,5878564.23883,5413380.7579499995,3076021.9473400004,4194778.26223,1945513.2560899998,3046610.8174,1028022.4720199999,1595246.81933,1354870.85103,782636.54648,1205579.8559100002,201162.09036,1393713.8025
2021-07,6973586.88975,6382345.442290001,3630288.145,5102449.567100001,2318487.63597,3611321.73345,1220453.90636,1879686.53445,1585407.73883,929922.28273,1410571.92182,246216.01805,1643969.81867
2021-08,8090559.80111,7388150.92755,4193766.4676699997,5886863.30092,2691712.12987,4163547.7083100006,1439167.37352,2168123.53589,1816671.45392,1081656.09799,1620680.3343,359231.70600999997,1938018.67006
2021-09,9159692.92633,8459558.65226,4779397.88014,6683857.43747,3055275.09974,4740822.67337,1672662.8503500002,2430314.46011,2042604.8397899999,1238475.04837,1849846.8920099998,304859.70297,2219248.2423
2021-10,10279123.606209999,9621144.186789999,5366186.245879999,7586128.86838,3452842.9301299998,5340223.8316399995,1909828.9352300002,2710468.83455,2274889.90324,1383515.5659,2071900.4682,446471.72211,2501404.13039
2021-11,11361840.375359999,10787119.341559999,6080724.45131,8501494.631760001,3840429.2533799997,6008005.5812099995,2154794.88577,3018687.02184,2512000.96716,1541026.26369,2304955.7332099997,495508.11023,2801611.6479
2021-12,12672632.55982,11917727.81844,6753964.87921,9419702.180030001,4267791.767890001,6611751.38524,2424136.35508,3372255.8978000004,2781113.83746,1715757.4649,2612691.4188699997,535805.1283900001,3129052.19179
2022-01,1221747.27067,1280100.7070000002,676280.6814,1085955.42292,411108.83295,644077.71896,263960.51624,331276.28637,250772.55002999998,148875.66996,258660.17788,41130.09467,306457.33092
2022-02,2412819.96575,2407125.06742,1257804.2425900002,1811859.00154,813920.9391000001,1257549.29118,519131.51608,491603.69630999997,463424.50413,292251.54998,493848.53713,72599.72662,594857.9770699999
2022-03,3492415.82196,3624470.5669,2014177.3578100002,2752949.0779500003,1228728.56947,1837186.6717,699959.2003499999,758635.22084,682389.81627,424371.60797,732008.17733,103097.28525,987438.73166
2022-04,4489939.552130001,4813162.59052,2740442.3636000003,3430866.94144,1656710.9786399999,2407013.92498,868708.55585,1062648.2091299999,923457.04109,555453.14202,984327.53865,128417.76286999999,1344878.05749
2022-05,5915987.60915,6110259.00035,3553532.71322,4736281.3574399995,2155007.93813,3105209.35502,1113051.86549,1468910.27038,1279155.68112,707677.07716,1271596.29497,155685.93062,1828035.93989
2022-06,7550041.4759599995,7333198.18502,4727274.90642,6645686.07051,2747084.95504,3893093.70028,1467633.53382,2083804.1315199998,1603543.0046700002,854980.2298900001,1695546.54009,188537.89902,2418233.73863
2022-07,9495619.712399999,8719507.873230001,6309376.32672,8124491.548300001,3415671.7813,4674635.694759999,2071217.83066,2475850.84796,1945126.0411,988472.16638,2165373.93115,243050.75122,2936270.80992
2022-08,11338426.123839999,9765850.81989,7407037.17304,9153105.48652,4043950.5757400002,5479934.64689,2601000.45019,2841452.43077,2170056.08114,1126427.6860699998,2572193.74732,264296.28361,3285059.9438
2022-09,13354870.192259999,10860582.48854,8520105.61592,11169768.35069,4690837.68067,6259062.8975,3098726.07256,3247139.1326900003,2456886.22689,1274990.8458699998,2926192.22556,292077.32943000004,3760832.27771
2022-10,15246351.29837,12003225.45842,9813198.72603,12465948.797389999,5346601.20241,7089542.33801,3660469.5755600003,3602533.03075,2791882.07499,1453955.33963,3115744.58066,317205.03516,4102735.2179099997
