,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,61499994.32241,65899847.54163001,53984251.01858,37820102.85443,39341818.24321,468058.11627
2020-02,61952402.457049996,65818798.38464,53240308.26291,36189097.48174,38766585.75568,466802.23491
2020-03,63206888.40332,70570049.59977001,57489830.88691,38815171.5754,41247425.76208,420909.90633
2020-04,59745008.39592,68236850.38639,54155786.03519,37109141.70881,38033821.26099,498481.79348999995
2020-05,59278522.75546,67801851.93743,52152635.040400006,36988013.97112,37723450.73415,510046.97063000005
2020-06,57917757.35856,68273267.41833,52840498.8168,37970302.25907999,39106849.282979995,406551.48432
2020-07,57229311.13725,64593448.47956,54667615.01833001,39033929.00222,41175384.28155,460698.10761
2020-08,58173938.24469999,65194091.94582001,51497328.76306,39300987.03757,40442552.30962,592071.75917
2020-09,58259156.69048,63048799.807560004,51650901.69431,42812505.084460005,41530222.81242,471065.23446
2020-10,57375158.51858,66073801.592329994,50644964.96351,42429071.76486,43692596.65339,589790.24345
2020-11,58188283.22277,63895018.375259995,50448654.34153,43401251.12956,43264614.29007,571434.3883100001
2020-12,56805052.50665999,63226076.83326,48591483.56196,47517582.76077001,47837448.06639,511948.90494
2021-01,57195899.106979996,69417687.17241001,47482713.795200005,47057767.21834999,47609066.69996,522423.1665
2021-02,57933942.853599995,69024200.67437,47932931.49351,45906668.67352,45618358.32903,617947.89872
2021-03,60301029.22196,67736391.62024,50145965.33064,45509050.19931,45927737.81561,516502.07964
2021-04,61153459.61946,66342930.50559001,51025586.678040005,46340819.54433001,47881439.49418,535435.1378
2021-05,62899267.28824,68743149.83160001,50934145.534279995,46932729.0493,49010864.67421,527699.42486
2021-06,64328135.79798,69462152.38013001,53019404.005200006,46685477.428559996,48929708.38593,431643.00097
2021-07,64706988.93313,68917025.71572,53441183.396519996,45464099.67767,49735145.020430006,540930.44059
2021-08,66729118.64992999,70658798.49152,64455983.189150006,47191376.223290004,53268173.600760005,531932.60104
2021-09,67415100.26399,73309859.60774,64521672.04507,49824392.076910004,54793623.189859994,370163.98666000005
2021-10,67333209.83184,74596753.64494999,64166244.801690005,53453471.76111001,57109425.66229,345200.90717
2021-11,69626090.34344,74921651.00549999,67981894.36419,54647041.872949995,60551456.233880006,346449.26824
2021-12,70193030.37557,74754085.60115999,69330615.89208001,55889683.12094,60334147.791600004,248825.76411000002
2022-01,73810126.36033,74998101.43558,71322039.3946,57055496.92372,62705087.08397,258586.71673999997
2022-02,77228180.58961,77441815.90332998,73276149.04376,58393164.9541,64594396.92266,334133.0627
2022-03,76344228.70848,75362971.04020001,77815794.13604,60854155.49409,62418523.05234,336283.34622
2022-04,78488682.09510002,77889440.15438,80213005.13448,57688637.810059994,59761322.2884,338501.79509
2022-05,81853548.5726,77096135.72691,82410728.67499001,63325407.40934999,56684217.94527,324218.63287
2022-06,78018318.09068,77624757.35666001,78791263.25007999,66225029.31263999,52738470.3528,316505.49319999997
2022-07,76314768.67415999,82799378.49514,89433897.80410999,73091652.00207001,54938658.79886,247697.37664
2022-08,74880302.21432,82619139.19073,88455055.10291,71620216.59527001,51924555.81457,212312.65106
2022-09,73909083.87762,83317682.76279,82670628.34823,69403711.61973,50659546.38703,184591.69668
2022-10,71577723.9949,82507351.19670999,82196374.08209999,66965122.791870005,48041715.3389,162042.74762
2022-11,72032098.69041,82976972.03136,82126745.3811,66048353.50056,46252532.70939,147108.65717999998
2022-12,71355251.00339,83215594.6941,82421873.39964,64759127.79916,42662921.69612,123920.70893
2023-01,72312006.12635,82042526.51434,82910770.41564,64098614.21361,41942053.1145,114123.73246
2023-02,71423763.79484999,81086132.51506001,81755695.03567001,62339661.73658001,39895165.65825,76732.47505000001
2023-03,71330493.17842,80707435.26028,78016771.6752,61904595.27577,39353189.024969995,71455.45663
2023-04,72675046.96852,80130554.25789,78463017.35979,59909638.82594,38856551.40771,68735.93199
2023-05,75474001.86532,79774718.81023,76361869.20529,58700601.73396,37582322.29563,66423.88502
2023-06,79859692.66948001,80552321.88212,74780078.26092,59573839.58488,37418118.30116,62081.457279999995
2023-07,84310860.3036,80749487.76562,74538392.64657001,60216970.82786,36341935.59637,60390.67810999999
2023-08,89158106.12516001,81499986.31537999,74270679.46375,60334413.09647,35618436.99978,70946.25174
2023-09,93188835.41272,83035062.36771,73902026.74206999,59902725.05429,34468093.77594,67826.66163999999
2023-10,95095468.55253,83645440.99785,72857818.36127001,60893044.2822,33963963.0777,67831.70575
2023-11,98203129.80714001,85963337.29753,72815336.41835,62829893.1881,33294371.024690002,40462.71317999999
2023-12,95637762.87383999,89109019.38982,75605456.65663001,63332946.58737,32858585.15918,16454.862800000003
2024-01,95892725.73545,88774286.27872999,75747393.57297,62881701.600269996,33687547.09701,15974.35104
2024-02,94939065.34375,89690041.60969,76064266.16578001,62531637.6666,33775602.69894,12108.357970000001
2024-03,98058531.91516,93173283.77541,77022755.44501,64022707.499740005,34084875.411139995,12070.09899
2024-04,101802690.66973999,94395287.92992,76820386.83381,64601088.903009996,34558574.616220005,11181.50933
2024-05,104515026.41299,94978664.00983,78400981.73254001,64526986.2116,37171697.047070004,10936.32025
