date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,3726059.71676,3437182.8444000003,1897066.3538600001,1021402.45609,1260456.1343,1877739.26627,1062158.8630300001,656481.63191,828073.3239500001,659733.071,645141.1674200001,60311.50628,905765.63816
2020-06-30,9308452.48939,8431381.79867,4592434.69318,2504494.39137,3036177.77589,4542910.63448,2075627.63296,1723109.3322,2076350.5084700002,1604591.33053,1578618.40374,162911.59006000002,2025178.63437
2020-09-30,14781991.57481,13500677.464249998,6919965.17741,4165429.3156899996,4743757.4552,7054453.728770001,2902720.71489,3077509.43146,3434161.6280199997,2565283.06068,2610800.80612,255340.98356,3396902.3733200002
2020-12-31,20041315.21242,19047621.65638,9259556.92664,6282898.3747000005,6595006.65744,9744290.97316,3747953.60879,4302604.20931,4870437.96699,3496410.64952,3765440.24173,365021.93059,4929737.75779
2021-03-31,3610273.9412400005,4078731.23358,1576693.25599,1899215.12192,1324294.72664,2000275.68134,540787.76356,865409.9240300001,978354.07725,591690.44997,775928.90606,75618.11544999998,1123387.10955
2021-06-30,9442240.12542,10527958.3973,4088333.12003,5349466.91054,3387255.1953800004,5260876.22416,1456780.4053500001,2213539.6355600003,2404608.85232,1560557.75763,2041304.93009,209926.29507,2765500.68577
2021-09-30,15706073.34646,17332484.37012,6926210.1227899995,9414554.74791,5616918.04741,8805451.885200001,2634085.84067,3568781.6419100002,3902887.5285900002,2631830.91821,3407825.06405,399822.31981,4582375.1193
2021-12-31,22322230.24309,25004139.20213,10081054.19162,13919476.32245,8031699.75652,12660466.36405,4118034.8415099997,4957475.25543,5439128.42021,3748093.69986,4896943.2169,631739.99605,6633559.64514
2022-03-31,4767222.78469,5712305.31704,2522698.79162,3658052.22341,1787272.35749,2861924.9292900003,935818.8371300001,1012610.24764,1086590.76937,717727.2862,1156219.52428,104548.79923,1559775.4292000001
2022-06-30,12608133.15721,14074763.939660002,7236920.76609,8575686.86994,4875219.3651600005,7285383.176340001,2371810.7904999997,2523239.42923,2659258.13627,1804181.7885699999,2954551.6601299997,270013.55958,4075442.7184699997
2022-09-30,22594221.57394,21988631.35812,14493891.89474,14679612.98102,9071398.43654,12383574.05594,5901506.2184,4270516.15724,4177950.6377899996,2817966.7909,4637481.224789999,405841.07767,6341456.95748
2022-12-31,34353086.46004,28695161.231,23165214.603600003,22627343.32161,14082939.79595,18279498.28885,10629361.02341,6153792.51583,5946813.664030001,4014559.39451,6149559.8799,560912.95483,8089949.36526
2023-03-31,8055682.89092,5100303.77293,5840992.49236,5529450.21754,3524607.8157399995,4273491.189990001,3556646.42771,1290912.85522,1471959.82548,924799.6113400001,1110995.2962099998,114330.01759,1230073.7194400001
2023-06-30,19694449.7241,13177358.78125,14610050.57256,13737315.99727,9109292.9785,10710281.96802,8842419.8971,3158977.3885,3581473.00702,2356027.66455,2736302.05307,294269.5163,3035923.5748300003
2023-09-30,32744348.45481,23098891.40673,24207799.274839997,22747918.75136,15415408.93036,17270061.68601,14331390.537919998,5514049.74071,6177443.0597,4074759.62708,4623300.12606,515971.86915,5051580.8462
2023-12-31,45586414.5239,33496868.53001,32965215.97137,32497721.773040004,21572318.17162,23758038.28457,19884466.385110002,7696856.03936,8803426.06292,5993399.25506,6467309.0970600005,733339.77425,7330404.06068
2024-03-31,8589296.51706,7149070.066339999,5979049.98134,7304061.3011,4444680.56026,4260091.55583,3359932.71206,1606682.15977,1881712.25848,1317263.4895199998,1271897.68322,136816.97983000003,1794086.25556
2024-06-30,12783752.307099998,10676811.43773,9008882.31644,11231160.834059998,6644258.04264,6368552.442770001,4953024.659879999,2473416.77863,2876690.7571,1919188.7741,1979311.2676300001,204483.95616,2773542.72748
