date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,3071407.0495700003,2435.52907,560059.0231999999,1970.0068,53679.57398,14599.40477,4114892.73455,8875.44532,0.0,40793.63012,135.51263,0.0,0.0
2020-06-30,3553716.1699200002,83236.05350000001,330189.20733,0.0,26462.196190000002,33851.852889999995,3792836.55718,457619.34986,0.0,38208.02956,4333.54463,0.0,0.0
2020-09-30,4936311.71919,77812.78456999999,125341.02106,0.0,8947.7516,84087.38361,5851812.76406,224940.82937,208.392,0.0,1186.37635,0.0,0.0
2020-12-31,8086465.909159999,167453.75844,132798.83787,44684.987720000005,11988.58936,66500.25130999999,5629252.36677,1259444.7456,0.0,0.0,9438.670250000001,0.0,0.0
2021-03-31,7105911.944220001,225283.11819,404326.85998,178926.20156999998,22669.607019999996,65528.89176,11555206.4779,719414.6575,0.0,28196.00653,92823.03328,61.19934,0.0
2021-06-30,7767914.5611499995,280875.59506,461737.0685,577250.19466,100324.29218,20228.01868,11664321.08963,760558.7358200001,0.0,12111.58535,195374.898,2797.7672,0.0
2021-09-30,7756495.2164199995,360868.46503,580404.13801,522987.24861,159295.15892000002,14993.7986,11869543.08117,958297.34578,2441.064,19091.155319999998,176983.74192,40068.78044,0.0
2021-12-31,8171617.58428,245324.13091,774867.18567,348195.06387,60461.537229999994,16209.68201,7670284.38126,598618.23092,0.0,31924.74725,116701.22068,7801.868399999999,0.0
2022-03-31,8914642.82667,27319.96252,794899.93381,415493.60149,20476.722149999998,13593.75274,3547919.66382,315545.28997,0.0,0.0,144911.75963,9417.77771,0.0
2022-06-30,8784524.58412,26812.221299999997,823397.4312000001,638996.68954,10610.4502,77224.9985,2829108.0705399998,425187.60288,0.0,0.0,114725.40736000001,14942.522530000002,2181.3996
2022-09-30,9782127.90002,16617.215470000003,939780.1248500001,1191368.52609,0.0,359471.5597,510413.6537,708412.25016,0.0,0.0,375130.72079000005,28507.629419999997,0.0
2022-12-31,16156839.96919,0.0,826136.0069,999268.32023,0.0,14140.610700000001,134774.7199,569183.42303,0.0,0.0,1170934.2994,23925.70727,0.0
2023-03-31,19135596.582820002,0.0,873330.9310399999,785242.26743,0.0,70184.10127000001,10.6053,869448.6843499999,0.0,0.0,2267989.50693,18774.1935,0.0
2023-06-30,19150851.20197,0.0,957579.7502800002,412801.31168,0.0,114194.60197,0.0,631429.50868,0.0,0.0,757874.7072,9460.065849999999,0.0
2023-09-30,22072197.309249997,1725.5107999999998,990685.3862,153352.58563,0.0,184395.75698,785585.862,662319.91875,0.0,0.0,390180.05335,3207.3647,0.0
2023-12-31,22016017.576509997,8509.5211,1252135.4531200002,0.0,0.0,4543.039580000001,1507604.96636,1959225.2051400002,0.0,0.0,684338.90219,34.964299999999994,0.0
2024-03-31,22917474.1114,57.86,1239274.11146,0.0,0.0,86048.27872999999,1238711.4767800001,1485153.64372,0.0,0.0,642911.91527,0.0,0.0
2024-06-30,10827221.4762,0.48,856955.4511599999,0.0,0.0,33679.99549,1375612.57897,926475.0678099999,0.0,0.0,1157250.25988,0.0,0.0
