date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,17493424.1495,24629043.7234,6852702.0,4450861.0,4142355,12412670.9894,11178171.0,5730023.660800001,8750644.1824,0,1210589.0350000001,406851.5995,0.0
2020-06-30,19233958.322899997,29680529.7635,8367342.0,2215961.0,4498483,10022090.13,13209254.0,10997825.490699999,11607035.7549,0,2719342.65,924231.6100000001,0.0
2020-09-30,22442349.2535,40110999.5158,9088580.754900001,4526300.0,4496337,11600211.9161,18616184.0,7473255.5307,12588339.1246,0,5713291.470000001,324132.6444,0.0
2020-12-31,27624176.8173,41325272.518,9114333.5141,16465195.8,5516337,16729088.9991,24992205.0,9989030.214,15373562.0737,0,9256178.7,319021.47939999995,0.0
2021-03-31,34477851.6677,43489630.034700006,9379157.663800001,30040331.0,7936337,20663239.6244,30922462.0,10999833.5792,20012357.956,0,19254936.14,609946.1479,6506.0
2021-06-30,34389065.5079,44904607.711,12184818.414299998,30774871.5,8096337,20471938.1836,30205328.0,11054202.0445,17855509.0203,0,20158346.845,1367187.9972,13012.0
2021-09-30,34284302.8992,39082539.318,13562787.6899,34158957.4,8096337,16812840.366,33683268.0,9671208.3462,18217957.5,0,14893409.779999997,2013012.5107999998,0.0
2021-12-31,38780593.397,45707483.687,13830341.342200002,33938812.6,8896337,20207135.9842,29286358.0,12455550.200299999,20673592.5133,0,17795830.54,2809904.295,0.0
2022-03-31,45228884.201000005,51423453.2105,13312712.9426,27310260.799999997,10005598,22515537.259099998,24492474.0,10313112.4389,19457926.7061,0,18070174.7,3754746.505,123844.0
2022-06-30,44124781.5651,49450709.0,12643558.1672,47062594.167500004,8533040,18645667.4702,24935782.0,7862398.211200001,13709981.8308,0,12629817.4714,3510461.7575,191877.0
2022-09-30,42731540.1401,46317360.0,11420565.1136,44870710.156399995,8034261,14805297.299999999,14742741.0,6417144.6588,13015127.654800002,0,8177113.5118,2453994.06,201750.0
2022-12-31,42361452.528,39787939.0,11258348.0,35929798.2798,7224261,10975458.7942,9104991.0,5553754.0403,11550751.3587,0,4710333.798599999,1888521.36,281469.548
2023-03-31,52093357.9118,45590941.2578,13237101.0,40837352.121199995,9359334,13025614.523000002,5441132.0,4332236.754000001,14913259.0796,0,7751820.6656,1999446.6,2034271.3153999997
2023-06-30,64855710.314600006,46470507.0,37351118.0,44277930.1052,11396493,17975477.9828,7465556.0,6318235.095600001,17793278.46,250000,6646817.672,2255613.7362,3849258.1509999996
2023-09-30,74273056.7182,50097845.0,42060007.0,46365778.7905,12396493,20639120.0,16519591.0,7255010.012,20439063.639200002,1194000,8820478.5078,2929994.31,2724663.9952
2023-12-31,73913225.3393,76162609.0,52201346.7728,46028294.8303,14190319,25312994.0,22357451.0,8781094.5597,20587718.0,1194000,10010448.3944,2795652.925,2430945.0
2024-03-31,76996632.5333,89745810.0,54082775.325,41738782.0663,20987232,26444931.0,29069933.0,8432078.6292,23972436.0,1194000,11194216.0,3183820.1149999998,2430945.0
2024-06-30,54006066.529599994,60602713.0,37700275.0,23679204.254100002,15097461,19568147.3666,22251177.0,5525479.030099999,19766201.0,796000,9144231.0,2300250.8099999996,1620630.0
