date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,2262569.7854400002,1740461.09689,959883.2330700001,268120.72656,849346.65809,1118506.03303,967149.45903,56018.026789999996,303446.96630000003,358993.84966,167481.81589000003,-44587.20643,283618.48377
2020-06-30,5135966.82976,3377084.64132,1810355.6024500001,731991.4159,1338987.50627,1996924.7352899997,2038050.4589200001,204082.41672,589893.78617,701318.90695,380640.09329,17775.54849,174487.16647
2020-09-30,8275419.7073800005,5417642.02064,2683211.45553,1087699.0232000002,1777737.2046,3553345.92413,2784501.18581,628433.547,1030157.54483,1061956.06398,582768.08452,38000.16275,382945.65876
2020-12-31,11231034.56707,7397240.586150001,3731725.37667,1712581.83367,2640031.01701,5464850.27138,3619333.74314,866951.85558,1474896.85532,1447782.7942899999,962934.23164,109758.19233999998,781680.85281
2021-03-31,2226533.9369200002,2015484.0565300002,464414.29654,1500995.07106,607368.62418,1210066.2621499998,755805.34829,332877.74838,429781.74491,339381.52971000003,280967.85754,139553.79865,229991.30158
2021-06-30,5739046.13219,4959930.70968,1381364.5640099999,4151871.2138900002,1742812.39085,3217864.49493,1853093.9455900001,799429.70508,1039147.0894899999,919516.2676299999,694468.9750399999,132992.77063,551841.35154
2021-09-30,9633895.27834,7947480.671150001,2549868.05494,6786317.611470001,2894682.45017,5382649.40177,3176459.07818,1313150.4335699999,1726336.3942,1502567.85887,1007104.9873500001,163351.3102,1078093.59885
2021-12-31,13343634.00234,11621891.03865,4220877.29497,8924088.18645,4177704.2632400002,7474961.25363,4720096.64554,1845085.58555,2219272.64672,2057367.13336,1241295.85657,145856.82001,2025645.16214
2022-03-31,798179.6987300001,1724213.51576,484472.53748,715821.3382400001,338870.25338,-12100.43891999987,192115.31783999997,437429.38131,347503.15242,-702921.21995,94079.42152,89156.45418,351957.10991999996
2022-06-30,968090.98108,631627.72759,1018812.87415,290442.49736,112613.28654,-3096809.02784,267390.08571,869427.44709,189504.03114,-2332275.00381,20639.394399999997,92353.87882,23394.86694
2022-09-30,5872195.03789,464364.77267,4872878.86411,1976951.20534,124867.39420000001,-1027395.67721,3292739.11913,1022370.94753,270468.14263,-3950238.73007,56384.020449999996,-82027.66952,167588.87231
2022-12-31,6876126.92245,-179215.6032200001,9445041.44087,5246111.1793,114872.15038,1250793.01926,7009365.680810001,1385379.69157,470007.62432,-4697917.04338,89425.00346,10198.4918,541930.46255
2023-03-31,4474438.82024,3042784.35025,3560379.5283899996,1928502.42836,176645.10199,3123781.44142,2932924.83584,746094.06248,702012.31563,499785.74048000004,188343.2907,38481.63634,252567.32236
2023-06-30,9205433.6767,8892842.43247,8775345.24065,4031307.1161,1894407.2048000002,7431811.770520001,6979009.74228,1470932.17575,2075118.096,1229506.88946,493535.90791,92210.28371,545013.28039
2023-09-30,15070193.7095,15139546.24222,15039506.840750001,7252011.217669999,5976176.13648,12325849.56716,11084382.92772,2389158.81021,3997526.9175500004,2115625.1577000003,675050.93349,194751.48612000002,1313978.41374
2023-12-31,19106272.72631,17125522.32313,17054842.08795,11379258.747879999,9166806.67754,14448688.22866,13858702.80854,4028350.63435,4629877.961689999,2721049.57398,577868.67526,204527.2578,1932186.15906
2024-03-31,5538744.547420001,4246609.34158,3500116.9444999998,2354320.8171800002,4421044.33351,2976990.71212,2296438.26183,1629372.4498299998,1357567.3894800001,856551.7946799999,468451.13396999997,62386.85873,942996.2092200001
2024-06-30,7324603.90448,5857809.19278,5264445.520579999,3859127.42213,5744662.92807,4360331.82581,3056594.07112,2142083.34596,1620047.97174,819187.14677,578693.30212,70965.04983,1575208.15816
