date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,136952004.65355998,97312683.74544,63485880.29224,33462669.908770002,72527229.59301001,74389333.4784,11886976.92626,42315358.16124,34907900.1384,49880000.92643,38627605.60591,2425782.37105,15659769.476889998
2020-06-30,136730019.48412,92858243.92059,60565469.73478,35873306.76228,69721961.66497,70325649.30748999,8167069.190850001,45420226.931219995,35649264.33407,53343473.96639,40521484.95943,2717062.82313,16441273.15216
2020-09-30,133349249.60303,98678681.78728001,64403482.39113,42512131.96656,74661390.22224,73211938.433,9183368.09393,50296191.93698,38710015.89784,55795623.887569994,43349898.542390004,3221228.7911799997,18685829.89849
2020-12-31,137595014.86571,108969394.37020999,64513423.213520005,48336619.74509,80692886.15149,81507627.30238,8001718.92953,54001834.12602,39618022.79767,58162660.61903,42205603.72483,3973408.1613700003,20685982.99403
2021-03-31,137976113.62245,116462766.13008,64854147.601679996,55514059.02059,76653709.80319001,83820390.80619,3131970.92132,50820363.40462,40546268.99635,57766005.20817001,36871856.6521,4094421.3452899996,22591916.19774
2021-06-30,159024900.05307,126711298.15827,67242823.66618,64362104.87857,77932916.97766,92612837.14559,6097877.1410300005,53842754.75411,45828381.9823,62273931.225030005,39275048.98554,4654536.94226,23984882.31919
2021-09-30,174507785.82894,142893337.75032002,70209101.62636,69220627.45385,95473595.55965,103821536.02028,13928830.996340001,56809366.98984,51285615.30506,64590323.35688,42652481.661139995,4719381.97925,26715656.66489
2021-12-31,200342473.34379998,155836765.98412,82031083.07581,75791022.49697,105238854.46022,116814901.68653,19252906.39391,61902925.08416,52181362.14136,67462590.91627,47329902.25634,3953039.69824,27920306.7744
2022-03-31,212609703.33786,163971861.62358,87471448.42473,81203209.37601,114220489.63247,130093542.54547,22933464.49993,64413329.66962,50848494.79981,68979095.43127,50844506.939169995,3977805.8124400005,29375473.98264
2022-06-30,208266060.98812002,157417045.40308,78104613.43642,67060046.63481,102874322.04961,113574388.21834001,23175547.87179,60062924.26688,48126013.71516,69147635.01509,47957573.34529,3776784.2840400003,26301892.64237
2022-09-30,213433168.30719,153343399.72841,64936155.35238,62714600.70446999,97654064.68071,106575048.14117,25696178.66798,59788564.67496,45045941.56701,67539806.68831,45989303.5215,3561583.4007900003,22434200.88048
2022-12-31,196539837.9365,140471976.9132,53834698.966539994,61984105.670949996,85497963.87266,93941384.87441,23371279.1497,51792168.30139,39780173.559640005,59998730.13938,43911540.78229,3267110.5507199997,19232556.39316
2023-03-31,179457987.40176,129702967.22273001,45243159.37486,64938960.12716,75835021.52226,82377853.64639,14782682.06576,43264153.53166,35143307.26163,56549722.40318,41004836.9055,2955712.21721,17949664.31112
2023-06-30,156473319.54447,132035106.47107,41360069.73113,71694912.69466001,61985244.99551,73179874.11223,12850636.79317,42719866.84602,35574769.80224,55075975.25046,42909679.65672,3026609.35002,19176951.48386
2023-09-30,154888328.46214998,139184378.30414,33653111.60312,82596746.35281,60351962.378000006,72127269.3657,9309490.96596,43758585.40724,36433527.63657001,55103166.10646,43782356.43721,2949157.57213,22159938.12674
2023-12-31,164001320.23589,150876487.33336,36325206.082890004,96193689.92592001,61357581.34139,74747580.21262,8898189.80302,46021866.94952,36432233.03141,54232941.92001,42517482.756740004,3179668.24348,26684855.221359998
2024-03-31,156456675.0012,158694132.6338,34853860.35161,103689060.55641001,57556963.28492,74364625.72588,10108762.556680001,48876817.01141,35543752.989,52493168.94331,43016135.921,3061517.30901,31027647.36467
2024-06-30,107886297.48042,111087396.73460999,23499181.66285,74277456.30158001,37906254.37488,54031950.12152,8067798.04863,33745800.310389996,23971255.44938,34351396.872080006,31427181.34825,2045324.13081,23709424.3871
