date,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2020-03-31,1502552.20929,1368383.74731,1147180.93555,958771.53567,488953.47559,731027.1995000001,63932.18939,605287.0001,406983.80704,221572.48502999998,353884.42897,60550.6124,455998.86503
2020-06-30,1625031.5956400002,1530119.5926700002,1155933.35501,865872.9372599999,836330.9216200002,1148810.26668,191857.76033000002,476052.2329500002,422033.52974,245122.83400000003,368728.1292399999,34861.70817,490814.52447000006
2020-09-30,1617008.9793099998,1387005.50692,990400.1181600001,956350.08142,532548.57999,190168.69895999995,47442.726739999984,698125.9969399997,454191.29393000016,202878.7969399999,423825.47189000016,41374.19503000002,487921.85670999996
2020-12-31,1660837.7886699997,1627672.3317199992,1199972.0833300003,1204950.9327700003,644952.6272800001,1169173.75987,95456.11678000004,622998.1619000002,510703.3453599999,231866.2779600001,395164.8866900001,39227.824649999995,482997.98008999997
2021-03-31,1501265.43461,1414103.55349,1146181.40688,1113045.33594,516629.87188,663299.90533,49407.87292,578738.5969199999,396819.22914,153459.04421,395788.70888,72212.9934,535195.12421
2021-06-30,1524148.6561,1578918.0776199999,1305779.37362,1432122.0783900002,582174.9703899999,822575.84207,41103.409750000006,619709.27615,440884.59499000007,192928.36023000002,482001.53791,85550.44612000001,612416.52242
2021-09-30,1697354.5260899998,1782807.0822500004,1045767.73404,1677141.5193800004,640934.3612200001,733684.6597300002,88566.17002,601940.0520900001,416767.8089699999,198323.55072,526689.0648699999,60030.173819999996,552467.3372799999
2021-12-31,2002901.15802,2030627.4459699998,1473428.9073200002,1917207.38196,633716.87484,1041460.54703,100801.13300999999,736287.8624299997,554776.8473400001,233559.95646000002,652959.7999500001,248082.49213000003,450806.5227000001
2022-03-31,3574541.4436,3397880.2756400006,2109446.91695,2869732.23252,1219032.58898,2855446.40891,811707.3619400001,525084.36456,634095.32865,1343740.96366,727526.0850300001,56616.765170000006,898440.53831
2022-06-30,3143029.1217900002,3668719.84577,1717509.45382,3482286.87256,1490529.23966,1992236.4143499997,368607.8075799999,1179953.84179,898611.8951999999,601909.5612400002,951057.1068,104142.09363000002,1513900.8013799998
2022-09-30,3689183.8716899995,3735413.0563700004,2096295.6350800004,3749505.7849200005,1951791.601760001,1432282.7619600007,81724.0118900002,1132563.8704900001,840633.9963700001,1055318.0090900003,1216910.6736200005,129678.54104,1195469.8553300002
2022-12-31,6966222.856320001,5135988.778209999,2315501.090049999,2338573.04696,1920411.4604599997,1983742.452039999,287753.2636599997,1094182.93847,949734.2905000001,984411.9845699999,732523.4783199998,75410.27589999995,566545.5902999998
2023-03-31,3205515.4559500003,1654825.4588499998,1670918.5376,2923949.81149,1932320.23608,832512.27615,209694.56727999996,672454.7182799999,666288.57398,253067.92024,694649.38435,67965.26341,743549.1471599999
2023-06-30,4171058.7491800003,1117104.2804900005,1545316.2170100003,2994617.61843,1095297.0418400003,855193.0424599999,267168.56036999996,732708.1111300001,206916.36844999995,283177.46638,652011.2548200001,56218.90451000001,647320.0280500001
2023-09-30,2106962.95746,1747811.4089100002,1409769.72334,1703479.3589599999,825002.1800399995,149454.16730999993,292925.6567899999,932070.217,425403.6761200001,469099.54009,740823.4080099999,56948.621320000006,587141.0206599999
2023-12-31,3368210.5462299995,3286508.8339899993,2197561.00067,4157307.0842400007,-229051.3416799996,1124869.9278600002,198923.6182400001,614733.6109200004,756554.0854499999,87650.36690999987,982045.7287900003,82703.43327999994,756376.0191800003
2024-03-31,2094283.18495,1666197.60148,1508975.55666,3336368.13123,-174006.63262000002,420825.5583,721134.67289,724300.27126,235889.8974,313563.64911,605685.90494,60087.32783,578946.32366
2024-06-30,1725047.55077,1493238.67678,939576.09604,1750160.26742,207835.0829,577066.85897,310218.3120599999,43785.826639999985,577451.9672100001,296034.57037,565891.65004,59931.97353,579559.5480800001
