date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,186659285.18278,202288695.52604002,164714390.1684,112824371.91157,119355829.76097,1355770.25751
2020-06-30,176941288.50994,204311969.74215,159148919.89239,112067457.93901,114864121.27812001,1415080.24844
2020-09-30,173662406.07242998,192836340.23294002,157815845.47570002,121147421.12425,123148159.40359,1523835.10124
2020-12-31,172368494.24800998,193194896.80085,149685102.86699998,133347905.65519,134794659.00985,1673173.5367
2021-03-31,175430871.18254,206178279.46702003,145561610.61935002,138473486.09118,139155162.8446,1656873.1448600001
2021-06-30,188380862.70568,204548232.71732002,154979136.21752,139959026.02219,145822012.55432,1494777.56363
2021-09-30,198851207.84705,212885683.81498,182418838.63074002,142479867.97787,157796941.81105,1443027.02829
2021-12-31,207152330.55084997,224272490.25160998,201478755.05796003,163990196.755,177995029.68777,940475.93952
2022-03-31,227382535.65842,227802888.37910998,222413982.5744,176302817.37191,189718007.05897,929003.12566
2022-06-30,238360548.75838003,232610333.23795,241414997.05955,187239074.53204998,169184010.58647,979225.92116
2022-09-30,225104154.7661,248736200.44866002,260559581.25524998,214115580.21707,157522761.00046,644601.72438
2022-12-31,214965073.68870002,248699917.92216998,246744992.86284,197772604.09159002,136957169.74441,433072.11373
2023-03-31,215066263.09961998,243836094.28968,242683237.12651002,188342871.22596002,121190407.79772,262311.66414
2023-06-30,228008741.50332,240457594.95024002,229604964.826,178184080.14478,113856992.0045,197241.27429
2023-09-30,266657801.84148002,245284536.44870996,222711098.85239,180454108.97862,106428466.37209,199163.59149
2023-12-31,288936361.23351,258717797.68519998,221278611.43625003,187055884.05767,100116919.26156999,124749.28172999999
2024-03-31,288890322.99435997,271637611.66383,228834415.18376002,189436046.76661,101548025.20708999,40152.808
2024-06-30,206317717.08273,189373951.93975002,155221368.56635,129128075.11461,71730271.66329,22117.82958
