date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,207163660.49785,143708910.07778,148698743.93448,48849215.43491,24671667.6557,205.98872999999998
2020-06-30,256726655.25269002,106873446.38510999,180873624.20868,47225465.19384,26869355.90379,205.98872999999998
2020-09-30,279677599.07912,58493764.73328,208747316.05101,38634552.96687,35454032.28932,205.98872999999998
2020-12-31,316836745.64591,41419518.031519994,200873041.86539,42900273.78074,35989436.84249,205.98872999999998
2021-03-31,362613490.06033003,43997683.24393,181513334.25516,44576028.30497,30664397.64116,205.98872999999998
2021-06-30,325586352.18134,50573720.045279995,145045759.88376,41103047.99303,32916053.70463,205.98872999999998
2021-09-30,320291942.7961,46032292.49034,104312763.97964,39887410.29579,30195020.36709,205.98872999999998
2021-12-31,344700408.87178004,14347636.32171,89313880.2218,37753405.29394,31074655.458979998,205.98872999999998
2022-03-31,385351381.52356,10157567.376030002,89970867.52781,44066309.489810005,33983248.84478,205.98872999999998
2022-06-30,413786864.41135,9834085.848210001,81422536.82749,51676481.454270005,32566047.24154,205.98872999999998
2022-09-30,431535525.68110996,19423339.65257,75267505.96844,44393419.07825,29517800.13613,205.98872999999998
2022-12-31,439158110.56374,27006669.10731,67994122.75261,39451350.18083,13051373.615400001,205.98872999999998
2023-03-31,453456195.73729,26592570.50714,81283971.70717001,55330429.6772,17753369.0495,205.98872999999998
2023-06-30,436772080.53121996,26836454.63089,117306623.93048,69071346.5715,19332780.74596,205.98872999999998
2023-09-30,425896920.67867005,27069733.14536,149508474.01162001,79369316.71381,17593451.39928,205.98872999999998
2023-12-31,486288526.44205,27515270.404760003,145525122.96491,83128869.12631,42761295.60927,205.98872999999998
2024-03-31,534276956.79815996,9415086.91057,145275519.09873,104035267.21585,59509828.26914,205.98872999999998
2024-06-30,362165764.09648,6180854.53409,104347201.73502001,75690444.09878,46817798.15356,137.32582
