,,,,,,,,,,,,,,,,Date,Total
2020-02-01 00:00:00,611949.5783,1466369.55187,3846.92741,10.60118,,,196713.72498,1804760.33895,55011.11948,24938.39693,6530.82538,889.95771,34634.91608,2444.03526,2862.43215,707859.20959,21127503.728010006
2020-03-01 00:00:00,604997.0447,1448124.38442,3825.32471,35.57825,,,222141.71357,1785237.24398,13.40585,25135.17178,6507.89163,805.72658,34966.75512,2545.769,3298.17979,693640.76435,20401563.84197
2020-04-01 00:00:00,670989.65261,1965388.75261,3749.42233,36.56419,156457.1904,,255656.4167,1757109.90665,0.8303,25297.805,6381.06288,760.80694,35918.19795,2817.28873,3266.33337,797734.29407,22769956.7348
2020-05-01 00:00:00,522013.27124,1776022.54413,3818.51735,38.13767,161666.43588,,246841.08848,1367651.28257,10.68253,25501.88435,6281.51439,778.70626,31875.78506,1864.68263,2799.80767,753318.3376,20043444.8966
2020-06-01 00:00:00,450400.76832,1993209.94847,3819.39743,38.57985,164070.6403,410700.36365,248409.45983,1219009.57915,12.28395,23711.64099,6318.96079,789.85288,32102.907,1851.53461,4397.16002,763298.82194,19673478.79476
2020-07-01 00:00:00,461374.35617,2253270.10809,3828.71969,39.64255,1421548.12872,416229.45172,246426.40866,1266238.1249,10.50258,23908.8246,6151.35666,796.16936,31729.025,1566.31558,2802.18966,771621.68289,19768320.686369997
2020-08-01 00:00:00,515887.0227,2639783.48387,3773.54549,40.75528,1480169.80357,452409.47872,258803.40867,1316566.4962,4.96174,20105.90543,6165.99597,804.33896,33414.43554,1610.90212,3877.82048,838645.97199,21507952.091220003
2020-09-01 00:00:00,488901.29121,2720093.34763,3726.94742,41.86548,1270593.1213,455026.46966,258621.84759,1406396.44459,11.83154,20276.92451,1614.37572,808.41877,33712.77922,1472.32307,3735.03231,843449.12733,20854080.93493
2020-10-01 00:00:00,473299.10165,2976206.1206,3593.55759,42.8201,1275733.36133,460513.88338,233918.31844,1865549.6957,0.43539,33.23787,1564.14616,717.02555,34516.02898,1651.74954,4199.03288,853573.5045,21429901.01325
2020-11-01 00:00:00,473670.31064,2892840.67901,3622.20503,34.07103,1162433.13525,462947.3715,236585.02642,1880805.98939,22376.55188,22.95504,1121.27913,644.74547,33662.45434,1791.4275,3053.62927,858007.65697,22235446.26454
2020-12-01 00:00:00,516158.71036,2799265.20926,3650.27048,35.19369,1166469.26948,472074.47487,0.89732,2114595.86114,22569.97102,23.6118,1059.132,608.26466,34005.54464,7301.27063,4252.81765,874923.90057,21710441.391149998
2021-02-01 00:00:00,511172.13272,2756934.29799,3737.90549,37.51706,1389363.621,565677.62756,0.9098,2398978.42522,80221.55431,1028.25644,987.50413,1101.0605,39110.98732,6139.90199,2285.36634,565677.52888,25424495.22598
2021-03-01 00:00:00,469173.9895,2646815.37278,3772.49673,38.56775,581188.19026,560230.30081,0.91544,2338420.32083,105293.9646,25.58562,947.4855,488.40333,40806.8798,5649.23938,2461.3857,196950.42096,22506784.67246
2021-04-01 00:00:00,477499.57971,2609490.80717,3811.90082,39.73102,556043.5046,559504.31312,0.92169,2031207.0273,136225.91676,26.26613,554.4703,488.53002,38501.58378,5771.32413,1727.47551,195826.50262,22974692.84593
2021-05-01 00:00:00,461198.83563,2756075.74064,3849.93704,40.85676,570386.46524,556734.11137,0.92774,3593447.81125,169709.20858,26.92469,554.88475,486.59459,40623.88112,6428.98714,1472.24198,194856.93246,23455256.982210003
2021-06-01 00:00:00,457092.33363,2609995.96463,3877.71058,42.02003,564939.73193,276524.91843,0.93399,3180341.62917,170156.39198,27.6052,510.91071,429.34752,70564.62975,7233.22013,1421.61253,,25128915.433349997
2021-07-01 00:00:00,437901.60348,2623776.37367,3915.29942,43.14577,658523.72633,,0.94004,2011993.15728,159689.01058,28.26376,1383.29971,371.56552,56606.48857,7193.88306,1370.95134,,25878454.25696
2021-08-01 00:00:00,352527.56055,2583881.76326,3954.14122,44.30904,900118.48755,269329.94381,4537.88926,2047333.56688,159661.18238,28.94427,3267.32505,315.50844,45256.3102,5983.07081,1320.24646,,25631736.92157
2021-09-01 00:00:00,348501.75613,3004419.79967,3992.98302,,1944777.70528,269444.66257,4558.54395,1931142.27466,159708.9008,,3258.36785,7732.81569,46868.56901,11201.20621,1252.56776,,26742792.60941
2021-10-01 00:00:00,341251.65856,3055912.48383,4030.57186,,1939002.45379,266567.82828,4558.74447,2474653.23103,222207.32698,,2918.36306,10818.11063,54593.31235,11154.76741,1252.58146,,26347215.616199996
2021-11-01 00:00:00,334610.21069,3184015.16137,4068.7987,,1928702.97287,264091.99145,7075.13793,3804770.76631,414626.32183,,4089.3921,15650.15856,57819.55133,10954.96271,1152.17866,,26073085.2986
2021-12-01 00:00:00,341695.85936,3299958.49858,4106.38754,,1931794.09643,272565.09471,7085.57629,4394232.42225,417855.9999,,4029.59747,18043.47883,57949.83763,12201.67661,1099.69596,,27705023.736279998
2022-01-01 00:00:00,338482.99563,3521967.7088,4145.22934,,627371.07169,273413.74456,10069.30226,4082977.06666,409196.10021,,206.40296,19277.41939,61961.96971,12673.40886,1048.75777,,27805838.54995
2022-02-01 00:00:00,354351.05324,3648388.60841,4184.07114,,2094488.59122,288743.52658,10104.54773,4132899.02864,410563.25503,,208.26663,18776.41973,70168.0438,12688.05679,489.29009,,28197679.349859998
2022-03-01 00:00:00,356035.09184,3807922.63376,4219.15405,,2142084.14898,293379.32106,10117.28729,4481485.59201,410672.71514,,210.16704,18398.96243,69095.3956,13090.15611,756.80498,,29589565.73443
2022-06-01 00:00:00,360672.93608,3822391.38458,4334.42649,,2035475.98616,293468.44465,9645.18884,4338423.87817,321138.59832,,1046.91052,18282.27596,55159.18059,11648.79539,789.58076,,25351991.51859
2022-07-01 00:00:00,362844.00043,3773660.59451,,,2025689.13161,293438.82289,9261.21746,4452084.21276,310797.0715,,1037.11691,18492.6792,53033.69638,10758.61003,781.18929,,24640173.445559997
2022-08-01 00:00:00,456359.07096,4471432.33958,,,2509992.69577,366835.04429,9016.87835,4713513.09908,118562.55152,,1049.90836,16446.90626,59855.08903,10639.53177,792.71615,,28827551.61858
2022-09-01 00:00:00,451818.41919,4448439.3844,,,2427056.12206,366835.37341,8669.4125,4454558.50347,118831.64756,,1051.31981,15933.5322,59440.67429,10268.00819,792.9275,,28074304.00683
2022-10-01 00:00:00,453182.4916,4296643.83203,,,2271427.51274,366817.08728,8310.8959,4316539.45497,108408.8924,,1061.60863,15665.08205,56257.89409,9229.51094,0.17438,,27326382.51569
2022-11-01 00:00:00,437199.36767,4172221.40591,,,2294630.28592,367418.04468,7672.13284,4090265.52699,108406.53751,,1070.26829,14555.23952,55298.03991,8764.45603,,,26467339.147490002
2022-12-01 00:00:00,409638.30499,4045655.60953,2278850.32728,367536.14882,7422.31074,4033086.26117,108305.34332,1081.64236,14302.83998,55000.39562,8598.96386,52139.42687,10281.44437,86977.69637,1062831.12495,183085.08662,24931652.44313
2023-01-01 00:00:00,401668.06343,3740181.01489,2128665.96226,368395.36429,7090.43566,3728836.96927,98048.98781,1112.89263,13754.36245,53516.20451,8135.06976,52653.58132,10369.19877,80861.40315,1084460.17951,130796.51507,23651929.22458
2023-02-01 00:00:00,398207.62471,3710764.04408,2114274.63999,368224.31612,7114.87031,3628897.05406,97994.67631,1105.83811,13340.98183,53387.85949,7902.6419,53189.25943,10456.95317,76004.49313,1103876.4007,131173.53737,23563711.87597
