Date,Total
2020-02-01 00:00:00,6159280.23772
2020-03-01 00:00:00,5656038.537670001
2020-04-01 00:00:00,6259508.771349999
2020-05-01 00:00:00,5447199.586269999
2020-06-01 00:00:00,5466653.20486
2020-07-01 00:00:00,5528611.451479999
2020-08-01 00:00:00,6092088.68266
2020-09-01 00:00:00,6062465.60814
2020-10-01 00:00:00,6173359.96325
2020-11-01 00:00:00,4433502.88772
2020-12-01 00:00:00,4158675.49336
2021-02-01 00:00:00,4118634.9378600004
2021-03-01 00:00:00,2039208.7514600004
2021-04-01 00:00:00,1957313.5169100002
2021-05-01 00:00:00,1951953.24522
2021-06-01 00:00:00,1942287.7108800001
2021-07-01 00:00:00,1920367.3741
2021-08-01 00:00:00,1926607.59332
2021-09-01 00:00:00,1954239.60085
2021-10-01 00:00:00,1503967.19991
2021-11-01 00:00:00,1465889.2398299999
2021-12-01 00:00:00,1508621.00416
2022-01-01 00:00:00,1522676.3710699999
2022-02-01 00:00:00,1584490.91744
2022-03-01 00:00:00,1527687.01249
2022-06-01 00:00:00,3077252.3797400002
2022-07-01 00:00:00,3470441.9872299996
2022-08-01 00:00:00,4685198.24558
2022-09-01 00:00:00,4777801.1956400005
2022-10-01 00:00:00,5931008.54537
2022-11-01 00:00:00,6167880.41532
2022-12-01,6278701.649309999
2023-01-01 00:00:00,8118460.73662
2023-02-01 00:00:00,8124942.87356
2023-03-01 00:00:00,7920599.71934
2023-04-01 00:00:00,9571248.37546
2023-05-01 00:00:00,9358147.58715
2023-06-01 00:00:00,8901646.22795
2023-07-01 00:00:00,8202445.92261
2023-08-01 00:00:00,8434686.37081
2023-09-01 00:00:00,10334816.67317
2023-10-01 00:00:00,10309912.89156
2023-11-01 00:00:00,10779739.616810001
2023-12-01 00:00:00,10784966.82263
2024-01-01 00:00:00,11007214.60861
2024-02-01 00:00:00,10730638.99146
2024-03-01 00:00:00,10802171.949789999
2024-04-01 00:00:00,11132365.36657
2024-05-01 00:00:00,11167138.29477
2024-06-01 00:00:00,11411147.72328
