,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,1232318.2135100001,1107191.35196,535047.22737,744146.39605,369245.62269,7948.5275
2020-02,2379486.8453499996,2132729.38851,1015687.25471,1432257.45822,697812.1956,11752.94229
2020-03,3537595.5019,3180951.18312,1505173.84127,2168563.66635,1066585.65802,15078.976649999999
2020-04,4597410.99006,4095913.79449,2015408.12472,2869371.32909,1393512.4713400002,18828.764209999998
2020-05,5651008.9076499995,4989385.75936,2585847.8922,3596047.3324700003,1710190.53121,22333.815430000002
2020-06,6647382.10298,5854740.22107,3201685.3441,4309532.1290299995,2027623.65966,27509.18424
2020-07,7642299.79847,6682901.78482,3783394.1496900003,5052437.60107,2333585.0428099995,31106.48191
2020-08,8592723.2044,7482449.52594,4361018.55323,5796800.946950001,2611103.90116,34018.43248
2020-09,9462399.79654,8244734.88145,4888626.565769999,6526747.7181,2866569.18518,36812.59171
2020-10,10339465.60079,9012662.90633,5433539.663319999,7260360.53376,3124688.46462,40046.02852
2020-11,11161300.4605,9747088.30988,5938321.60902,7960281.78743,3382175.03284,43344.63944
2020-12,11961443.23337,10476278.25374,6366658.08416,8663505.46053,3673344.2387800002,47634.29349
2021-01,773786.39584,715228.26855,401088.85047,685243.97942,299124.80468,4867.5233
2021-02,1415428.75837,1377579.58353,756197.5015499999,1303146.40924,568817.0747499999,9416.116600000001
2021-03,2096981.1364799999,2117354.13258,1091468.82545,1928000.79298,868720.25532,15727.720700000002
2021-04,2734712.57968,2836478.3621,1411522.72576,2524357.4572799997,1168308.56907,23906.307670000002
2021-05,3369558.44062,3557580.1159200002,1709378.08585,3135812.36298,1486309.1422299999,32239.846640000003
2021-06,3890583.2060100003,4221654.3025,1964635.675,3735578.58881,1800665.58439,40546.34371
2021-07,4394347.92389,4887351.64775,2217477.0148799997,4352017.85802,2120426.02407,46800.460250000004
2021-08,4865213.50474,5562404.90408,2458441.2958500003,4968188.38392,2444195.11083,52953.7914
2021-09,5301860.603639999,6183891.4383499995,2688373.53436,5578502.63109,2755029.2595699998,58707.77851
2021-10,5737074.85456,6782870.5126,2945782.2938,6189725.30335,3081796.07879,62204.893390000005
2021-11,6140952.13722,7385240.13722,3194059.82348,6760598.196640001,3410413.07592,65772.20236
2021-12,6536610.86428,7984488.99931,3442538.73858,7334114.21709,3760451.27358,68996.68486000001
2022-01,385242.56653999997,627286.13093,241141.3795,571192.44209,377942.96356,3331.70162
2022-02,737086.97207,1178971.72436,460104.54545,1155037.1019300001,727010.22309,6476.81414
2022-03,1212416.15408,1797130.91953,740144.89138,1725849.2569,1098392.95676,12371.98459
2022-04,1533933.3344700001,2397426.53651,1057366.4584299999,2331288.65679,1437951.4774,18304.90241
2022-05,1849731.5261199998,3042587.44483,1393396.50351,2960453.5238200002,1755423.6227199999,24638.594999999998
2022-06,2142999.6552299997,3585165.15978,1869948.9147100002,3814557.1856400003,2188509.47487,36268.80438
2022-07,2433308.66211,4128855.59774,2548231.28975,4817532.009339999,2659134.69514,49350.76323
2022-08,2713947.1660999996,4738707.8345800005,3321423.18221,5887336.181890001,3149448.80616,62238.34286999999
2022-09,2978549.19515,5365377.255270001,4172155.63155,7103024.15174,3588403.14852,74279.15471999999
2022-10,3245608.4998299996,6045800.00334,5080816.24161,8300777.5012799995,3986153.79538,86935.062
2022-11,3498243.65194,6747240.12834,5859048.40334,9517308.35286,4322710.29423,99001.47901
2022-12,3768087.82858,7557920.88195,6571939.11218,10797821.650600001,4687040.088099999,111161.14895
2023-01,300122.65351000003,902615.5501,718173.91787,1353124.2673,390753.4809,11889.47184
2023-02,594482.2801399999,1801253.7750199998,1406579.18499,2665516.41865,756282.68696,22328.13594
2023-03,951613.9116000001,2840732.93817,2295610.31082,4246424.394069999,1176319.25107,32787.22681
2023-04,1337604.79146,3850501.51164,3269179.669,5720593.15728,1579234.7367699998,42909.215000000004
2023-05,1784027.7998,5006262.6775899995,4274525.66247,7222553.01776,2010089.0188799999,53531.7613
2023-06,2268528.10996,6146857.663509999,5187017.9243,8728142.123289999,2419744.87481,63584.46492
2023-07,2846993.66263,7392975.96118,6121859.92739,10314862.76427,2820150.62924,67810.749
2023-08,3495133.4786799997,8708185.40545,7012899.65941,11812812.307869999,3262058.51575,69215.92986999999
2023-09,4193527.50265,9960017.15913,7847421.741590001,13269783.75119,3764328.8922800003,70303.84528000001
2023-10,4974008.04976,11251955.70686,8799464.877559999,14572469.94142,4336098.85006,71100.82306
2023-11,5763492.98109,12498809.26384,9708075.50223,15819268.5237,4974773.29121,71846.33447999999
2023-12,6616308.6636500005,13860768.81952,10690068.22986,17168851.46622,5643882.18407,72702.12162
2024-01,877585.61997,1425516.22159,994076.14446,1361123.7087899998,689352.91631,936.26974
2024-02,1722650.64429,2849099.03678,1938542.64241,2642211.50353,1309303.14169,1811.24796
2024-03,2653450.0694399998,4341980.653419999,2903308.96585,4058015.71599,1972302.23376,2947.08755
2024-04,3573631.53344,6036606.95562,3835180.5583300004,5439688.363659999,2620861.6008,4038.19152
2024-05,4527697.50235,7746315.575010001,4783214.74058,6798320.130369999,3266705.58862,5010.93217
