,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,3775761.1841100003,603306.49222,134190.71026,-156330.37076,203897.60683,-2745.44269
2020-02,10158802.71654,1085415.10436,294258.78177,360289.74501,301708.32496,4686.251569999999
2020-03,10429428.054370001,2628429.15575,445386.31069,-2074172.81634,307699.15725,7939.08574
2020-04,17285402.39084,3293545.0353699997,492201.94682,-1658792.51332,332627.32113,6864.98495
2020-05,19617193.60267,3563749.78841,540113.78798,-1577762.61805,383841.41276000004,13470.926300000001
2020-06,14037369.28648,3593100.89578,553136.5502800001,-1917295.89553,476914.61605,11904.24929
2020-07,16201781.797330001,4316398.09964,669950.9174,-2243684.33354,601435.3338199999,20983.8534
2020-08,18391079.18406,4435889.21086,800411.28296,-1882480.38559,787877.1886700001,19496.39925
2020-09,21274836.458329998,4736551.51272,821045.24855,-2246247.28916,828327.75626,16047.261169999998
2020-10,22847507.17165,4798502.76402,864478.6838700001,-3173043.26089,872784.8114,12693.11864
2020-11,25026620.20806,4846244.15639,904499.04806,-3765636.84039,969882.4083,19920.588590000003
2020-12,24296660.85562,2732378.0822,511503.95233,-5328138.65212,1176743.80205,14160.470070000001
2021-01,1535233.31738,138580.20538,80614.94202999999,102409.47651000001,185983.35113999998,-3726.7492899999997
2021-02,1309600.12755,202178.04738,178251.08843,201879.8936,424154.18337,-3936.32087
2021-03,2384821.34949,252146.99967999998,309892.97986,324903.66581000003,973719.8270899999,1660.82035
2021-04,6046051.00457,389005.30132,439411.5098,580318.51911,1111979.0288,1940.37839
2021-05,8690737.27686,463112.63669,559430.4948499999,894873.13728,1277567.9166899999,-3610.99438
2021-06,11629208.98752,512425.43220000004,916798.24157,1122945.57322,1462042.0387199998,5133.01982
2021-07,16416626.726900002,605733.1329,1325292.74407,1368999.0748299998,1868477.89964,1473.02054
2021-08,18519907.975229997,748910.43569,1730676.8420799999,1647832.93899,2329030.33678,1879.49262
2021-09,21229262.563640002,848792.32888,2222236.44956,1749939.1612,2457523.71246,15324.097399999999
2021-10,23818185.81572,776875.35874,3265940.45805,2052132.0820300002,2742892.80573,53669.26306
2021-11,26351087.10168,1372920.44517,4354806.14829,2254701.24243,3078936.8376,54829.426490000005
2021-12,35067108.40812,1053290.80288,4685362.37848,2728417.182,3325998.40938,48493.26558
2022-01,2061896.1445099998,1126300.37077,115748.56967,130065.34934000002,641228.73744,2645.20905
2022-02,5033463.54829,442935.57742,115752.34075,247654.3144,699016.19713,2991.8705499999996
2022-03,3885903.19357,243464.66784,-1409116.54789,-2019289.16029,720736.32294,-3233.0088899999996
2022-04,785696.89418,-2281699.36218,-2329882.98434,-2025961.83307,413300.21853,-147.71289000000002
2022-05,6235771.12081,-3582658.80098,-1900046.67687,-2095981.85608,30119.49641,-12621.71369
2022-06,7059979.37288,-4043215.86979,-3202964.86179,-2536517.3533400004,-2366178.69838,-32791.232299999996
2022-07,12951924.74321,-503800.45385,-3544669.90998,-3303300.4579,-3537056.8996,-45363.847669999996
2022-08,16865977.213450003,2340981.8453699998,-3401633.8252499998,-4405919.69899,-4900818.37566,-60847.362140000005
2022-09,16453441.890390001,2712116.07397,-3362175.93599,-7906125.38752,-4326421.6095900005,-85326.28675
2022-10,21234115.80706,1088271.56849,-3656055.03415,-8378374.44616,-4230192.28699,-93974.02923999999
2022-11,27467469.3079,1580700.43598,-3757492.31138,-7687730.92294,-5081783.03231,-103309.75098
2022-12,34671985.41789,637767.20981,-3999139.05773,-7975789.68653,-6908603.79053,-166307.52351
2023-01,7701654.2648,2242222.5875399997,234318.28936,623024.2302499999,681240.88588,-6198.15882
2023-02,10645287.24918,1845690.26542,488824.27585,418222.28388,806436.1273299999,44022.80011
2023-03,19955797.39698,2541654.31633,1414000.50196,981642.5998600001,1196581.29192,32606.668159999997
2023-04,25755511.32846,2070309.5184499999,1789198.7207300002,1243736.98483,1329253.82945,22223.93028
2023-05,31361699.97139,2231106.5581500004,2165371.78404,1536210.72677,1392916.7986,12739.350339999999
2023-06,36685050.34989,6838172.12917,2714842.2578999996,1975922.06528,2140439.03825,2710.2171
2023-07,42293962.94341,8236158.3689,3004655.34204,2326137.2034699996,5358597.24776,-28710.48686
2023-08,48161983.948130004,9803786.44247,2738842.7387800002,3073219.0092,5439240.04538,-24021.22739
2023-09,52691480.85026,14495568.20082,3366153.26008,3595073.7604400003,5585417.31422,-30307.23
2023-10,58071641.11942,14901802.628929999,3902345.6693100003,4131843.66305,5744728.57629,-28998.94703
2023-11,67040586.85959999,13272093.1298,4620988.34728,4925452.84198,5233766.97301,587.70065
2023-12,72765259.09157999,9254873.785969999,4660901.86879,5749655.49718,3591652.83908,-5713.45156
2024-01,7825606.30159,1556264.32868,939916.99532,1061225.66717,480951.33818,-3550.76298
2024-02,10280994.5955,2464521.91251,1450771.9314299999,1683253.3711,481025.44418999995,-3640.37542
2024-03,18692727.655309997,4856065.542409999,1900369.29566,2474470.74419,1330008.7266600002,-7640.88734
2024-04,23353007.98599,6472223.27192,2577614.8850999996,2868351.20689,1593574.41225,-12473.20921
2024-05,32001985.765270002,8746254.4034,3068328.90111,4169717.87794,1849389.6818600001,-16521.854470000002
